trialnum,colourtext,colourname,condition,response,rt,correct
1,green,blue,incongruent,blue,0.741001,True
2,blue,blue,congruent,blue,0.536678,True
3,green,green,congruent,green,0.588124,True
4,yellow,yellow,congruent,yellow,0.557507,True
5,red,blue,incongruent,red,0.996381,False
6,yellow,yellow,congruent,yellow,0.842094,True
7,yellow,blue,incongruent,blue,0.698108,True
8,blue,blue,congruent,blue,0.566695,True
9,red,red,congruent,red,0.536558,True
10,red,blue,incongruent,yellow,0.818211,False
11,green,red,incongruent,red,1.403201,True
12,yellow,yellow,congruent,yellow,0.485146,True
13,yellow,yellow,congruent,yellow,0.506862,True
14,yellow,yellow,congruent,yellow,0.519765,True
15,red,green,incongruent,green,1.016048,True
16,green,red,incongruent,red,0.964350,True
17,green,green,congruent,green,0.543164,True
18,blue,green,incongruent,green,0.705492,True
19,yellow,blue,incongruent,yellow,0.669201,False
20,red,yellow,incongruent,yellow,1.277277,True
21,blue,blue,congruent,blue,0.809003,True
22,red,red,congruent,red,0.442727,True
23,red,red,congruent,red,0.482707,True
24,yellow,green,incongruent,green,0.766561,True
25,green,green,congruent,green,0.576540,True
26,green,green,congruent,green,0.546588,True
27,yellow,yellow,congruent,yellow,0.531995,True
28,green,green,congruent,green,0.728204,True
29,blue,blue,congruent,blue,0.507999,True
30,yellow,blue,incongruent,blue,1.013328,True
31,red,yellow,incongruent,yellow,0.763184,True
32,red,red,congruent,red,0.566522,True
33,blue,blue,congruent,blue,0.552483,True
34,green,green,congruent,green,0.587496,True
35,green,blue,incongruent,blue,0.715101,True
36,blue,blue,congruent,blue,0.551303,True
37,blue,yellow,incongruent,yellow,0.800532,True
38,green,green,congruent,green,0.593036,True
39,yellow,red,incongruent,red,0.641244,True
40,red,yellow,incongruent,yellow,1.132783,True
41,green,green,congruent,green,0.687394,True
42,blue,blue,congruent,blue,0.588193,True
43,green,yellow,incongruent,yellow,0.899455,True
44,green,green,congruent,green,0.639399,True
45,green,blue,incongruent,blue,0.653547,True
46,blue,yellow,incongruent,yellow,0.572592,True
47,blue,green,incongruent,green,0.939832,True
48,blue,green,incongruent,green,0.670358,True
49,yellow,yellow,congruent,yellow,0.620010,True
50,yellow,yellow,congruent,yellow,0.738451,True
51,green,red,incongruent,red,0.851261,True
52,red,red,congruent,red,0.665231,True
53,yellow,yellow,congruent,yellow,0.702662,True
54,yellow,blue,incongruent,blue,0.761599,True
55,yellow,red,incongruent,red,0.690770,True
56,green,red,incongruent,red,0.656272,True
57,green,red,incongruent,red,0.733633,True
58,yellow,red,incongruent,red,0.735668,True
59,red,red,congruent,red,0.698200,True
60,blue,red,incongruent,red,0.567248,True
61,red,red,congruent,red,0.632832,True
62,green,blue,incongruent,blue,1.219062,True
63,red,green,incongruent,green,0.666784,True
64,blue,green,incongruent,green,0.663995,True
65,yellow,blue,incongruent,blue,0.848518,True
66,green,green,congruent,green,0.713822,True
67,yellow,yellow,congruent,yellow,0.643133,True
68,blue,red,incongruent,red,0.864915,True
69,blue,blue,congruent,blue,0.632124,True
70,green,green,congruent,green,0.623141,True
71,red,red,congruent,red,0.542552,True
72,yellow,green,incongruent,green,0.800276,True
73,yellow,green,incongruent,green,0.624379,True
74,red,blue,incongruent,blue,0.877504,True
75,blue,blue,congruent,blue,0.643189,True
76,green,green,congruent,green,0.586921,True
77,yellow,red,incongruent,red,1.346995,True
78,red,red,congruent,red,0.579914,True
79,yellow,yellow,congruent,yellow,0.512505,True
80,yellow,yellow,congruent,yellow,0.539601,True
81,red,red,congruent,red,0.520455,True
82,yellow,green,incongruent,green,0.668298,True
83,red,red,congruent,red,0.529906,True
84,blue,yellow,incongruent,blue,0.714931,False
85,red,green,incongruent,red,0.727684,False
86,yellow,yellow,congruent,yellow,0.588314,True
87,red,yellow,incongruent,yellow,0.795776,True
88,blue,yellow,incongruent,yellow,0.603446,True
89,yellow,red,incongruent,red,1.644660,True
90,red,green,incongruent,green,0.905993,True
91,green,green,congruent,green,0.614782,True
92,green,yellow,incongruent,yellow,1.447763,True
93,blue,blue,congruent,blue,0.661385,True
94,green,green,congruent,green,0.659610,True
95,blue,red,incongruent,red,0.665442,True
96,red,green,incongruent,green,0.726687,True
97,blue,blue,congruent,blue,0.577994,True
98,green,blue,incongruent,blue,0.587132,True
99,blue,blue,congruent,blue,0.620925,True
100,green,green,congruent,green,0.573282,True
101,red,red,congruent,red,0.669917,True
102,red,yellow,incongruent,yellow,0.643682,True
103,blue,yellow,incongruent,yellow,0.698118,True
104,yellow,yellow,congruent,yellow,0.693773,True
105,blue,blue,congruent,blue,0.721584,True
106,green,yellow,incongruent,yellow,0.621789,True
107,red,blue,incongruent,blue,1.041682,True
108,green,yellow,incongruent,yellow,0.879228,True
109,blue,blue,congruent,blue,0.738211,True
110,green,yellow,incongruent,yellow,0.631316,True
111,blue,red,incongruent,red,0.629802,True
112,blue,blue,congruent,yellow,0.794836,False
113,yellow,yellow,congruent,yellow,0.738300,True
114,red,red,congruent,red,0.647214,True
115,blue,green,incongruent,green,1.334433,True
116,red,red,congruent,red,0.595991,True
117,red,blue,incongruent,blue,0.746874,True
118,red,red,congruent,red,0.566810,True
119,yellow,green,incongruent,green,0.704280,True
120,blue,red,incongruent,red,0.707591,True
