trialnum,colourtext,colourname,condition,response,rt,correct
1,blue,blue,congruent,blue,0.810667,True
2,green,green,congruent,green,0.570519,True
3,green,red,incongruent,red,1.150125,True
4,red,yellow,incongruent,yellow,0.711288,True
5,blue,blue,congruent,blue,0.642239,True
6,yellow,yellow,congruent,yellow,0.569707,True
7,blue,green,incongruent,green,0.650443,True
8,blue,blue,congruent,blue,0.829725,True
9,red,red,congruent,red,0.563071,True
10,red,blue,incongruent,green,0.717486,False
11,yellow,yellow,congruent,yellow,0.655766,True
12,red,blue,incongruent,blue,0.803157,True
13,red,red,congruent,red,0.587009,True
14,blue,red,incongruent,red,0.666964,True
15,red,red,congruent,red,0.655293,True
16,blue,yellow,incongruent,yellow,0.629145,True
17,green,blue,incongruent,blue,0.721136,True
18,red,red,congruent,red,0.526341,True
19,green,red,incongruent,red,0.593429,True
20,yellow,green,incongruent,green,0.998764,True
21,red,red,congruent,red,0.724861,True
22,yellow,blue,incongruent,blue,1.036260,True
23,yellow,green,incongruent,green,0.531722,True
24,yellow,green,incongruent,green,0.638098,True
25,yellow,yellow,congruent,yellow,0.644175,True
26,blue,blue,congruent,blue,0.689473,True
27,blue,green,incongruent,green,0.709688,True
28,green,green,congruent,green,0.831395,True
29,yellow,yellow,congruent,yellow,0.605669,True
30,green,green,congruent,green,1.097122,True
31,blue,red,incongruent,red,0.895594,True
32,yellow,yellow,congruent,yellow,0.534538,True
33,blue,red,incongruent,red,1.346191,True
34,blue,blue,congruent,blue,0.911893,True
35,blue,blue,congruent,blue,0.579141,True
36,green,green,congruent,green,0.535166,True
37,green,green,congruent,green,0.458603,True
38,red,red,congruent,red,0.607303,True
39,green,yellow,incongruent,yellow,1.035129,True
40,red,blue,incongruent,blue,0.997549,True
41,blue,blue,congruent,blue,0.652532,True
42,blue,blue,congruent,blue,0.744817,True
43,red,red,congruent,red,0.618892,True
44,green,green,congruent,green,0.808779,True
45,green,blue,incongruent,blue,0.726887,True
46,green,yellow,incongruent,yellow,0.618120,True
47,yellow,yellow,congruent,yellow,0.720119,True
48,blue,red,incongruent,red,0.769393,True
49,green,green,congruent,green,0.793411,True
50,blue,blue,congruent,blue,0.522117,True
51,green,green,congruent,green,0.566322,True
52,blue,blue,congruent,blue,0.622820,True
53,blue,green,incongruent,green,0.685591,True
54,green,green,congruent,green,0.704855,True
55,blue,red,incongruent,red,0.627785,True
56,yellow,blue,incongruent,blue,0.886590,True
57,yellow,red,incongruent,red,0.827264,True
58,red,red,congruent,red,0.602501,True
59,green,green,congruent,green,0.578941,True
60,red,green,incongruent,green,0.682350,True
61,green,blue,incongruent,blue,0.670881,True
62,red,red,congruent,red,0.611586,True
63,yellow,yellow,congruent,yellow,0.483864,True
64,green,yellow,incongruent,yellow,0.759526,True
65,yellow,green,incongruent,green,0.878556,True
66,green,red,incongruent,red,0.927133,True
67,red,green,incongruent,green,0.881001,True
68,blue,blue,congruent,blue,0.573194,True
69,green,green,congruent,green,0.590869,True
70,red,red,congruent,red,0.582616,True
71,blue,green,incongruent,yellow,0.710291,False
72,blue,yellow,incongruent,yellow,0.689230,True
73,blue,blue,congruent,blue,0.628772,True
74,yellow,red,incongruent,red,0.642140,True
75,red,yellow,incongruent,yellow,0.673790,True
76,blue,yellow,incongruent,yellow,0.733659,True
77,yellow,red,incongruent,red,0.621102,True
78,yellow,yellow,congruent,yellow,0.818677,True
79,yellow,yellow,congruent,yellow,0.672695,True
80,green,red,incongruent,red,0.699798,True
81,red,red,congruent,red,0.718230,True
82,yellow,yellow,congruent,yellow,0.562027,True
83,yellow,green,incongruent,blue,0.721029,False
84,yellow,yellow,congruent,yellow,0.724374,True
85,green,red,incongruent,red,0.733976,True
86,yellow,yellow,congruent,yellow,0.568872,True
87,red,red,congruent,red,0.577500,True
88,blue,green,incongruent,green,0.825080,True
89,red,green,incongruent,green,0.639493,True
90,yellow,red,incongruent,red,0.644717,True
91,blue,yellow,incongruent,yellow,0.658616,True
92,red,yellow,incongruent,yellow,0.584776,True
93,green,green,congruent,blue,0.965224,False
94,green,blue,incongruent,blue,1.129371,True
95,red,red,congruent,red,0.618563,True
96,green,green,congruent,green,0.508187,True
97,green,yellow,incongruent,yellow,0.552172,True
98,red,blue,incongruent,red,0.553657,False
99,yellow,blue,incongruent,yellow,0.635548,False
100,yellow,red,incongruent,red,0.997944,True
101,blue,blue,congruent,blue,0.732127,True
102,yellow,blue,incongruent,blue,0.661665,True
103,green,green,congruent,green,0.555280,True
104,yellow,yellow,congruent,yellow,0.645293,True
105,blue,blue,congruent,blue,1.038078,True
106,red,red,congruent,red,0.597712,True
107,red,blue,incongruent,green,0.922998,False
108,green,green,congruent,green,0.669627,True
109,blue,blue,congruent,blue,0.625396,True
110,red,yellow,incongruent,yellow,0.791252,True
111,red,green,incongruent,green,0.766294,True
112,yellow,blue,incongruent,blue,0.852336,True
113,green,yellow,incongruent,yellow,0.650180,True
114,yellow,yellow,congruent,yellow,0.536381,True
115,red,green,incongruent,green,1.371851,True
116,red,red,congruent,red,0.596347,True
117,red,yellow,incongruent,yellow,0.999803,True
118,blue,yellow,incongruent,yellow,0.680744,True
119,yellow,yellow,congruent,yellow,0.594910,True
120,green,blue,incongruent,blue,0.867152,True
