trialnum,colourtext,colourname,condition,response,rt,correct
1,green,green,congruent,green,4.797412,True
2,red,yellow,incongruent,yellow,0.720465,True
3,green,red,incongruent,red,0.832355,True
4,green,blue,incongruent,blue,0.590341,True
5,green,red,incongruent,red,0.883683,True
6,green,green,congruent,green,0.639745,True
7,yellow,red,incongruent,red,1.604360,True
8,blue,blue,congruent,blue,0.579860,True
9,yellow,yellow,congruent,yellow,0.635474,True
10,yellow,green,incongruent,green,0.904317,True
11,blue,blue,congruent,blue,0.619008,True
12,yellow,yellow,congruent,yellow,0.515030,True
13,green,green,congruent,green,0.581908,True
14,green,yellow,incongruent,yellow,0.978701,True
15,yellow,blue,incongruent,red,1.173731,False
16,red,green,incongruent,green,1.011705,True
17,green,green,congruent,green,0.571513,True
18,yellow,green,incongruent,green,1.603212,True
19,yellow,yellow,congruent,yellow,0.673890,True
20,yellow,red,incongruent,red,1.208575,True
21,green,green,congruent,green,0.521326,True
22,blue,red,incongruent,red,1.063707,True
23,yellow,yellow,congruent,yellow,0.572188,True
24,yellow,blue,incongruent,blue,0.868245,True
25,red,blue,incongruent,blue,0.497938,True
26,blue,blue,congruent,blue,0.502322,True
27,yellow,yellow,congruent,yellow,0.538638,True
28,red,red,congruent,red,1.111687,True
29,green,green,congruent,green,0.666884,True
30,blue,green,incongruent,green,0.504617,True
31,green,green,congruent,green,0.461283,True
32,yellow,red,incongruent,red,0.975295,True
33,green,blue,incongruent,blue,0.583987,True
34,yellow,yellow,congruent,yellow,0.521509,True
35,blue,yellow,incongruent,yellow,0.596071,True
36,red,red,congruent,red,0.579082,True
37,blue,red,incongruent,red,0.428686,True
38,green,blue,incongruent,blue,0.642953,True
39,red,red,congruent,red,0.595095,True
40,yellow,green,incongruent,green,0.801832,True
41,red,red,congruent,red,0.712013,True
42,green,yellow,incongruent,yellow,1.024285,True
43,green,green,congruent,green,0.488268,True
44,yellow,yellow,congruent,yellow,0.509301,True
45,blue,red,incongruent,red,0.624489,True
46,yellow,red,incongruent,red,0.503948,True
47,blue,blue,congruent,blue,0.722188,True
48,blue,green,incongruent,green,1.541457,True
49,blue,blue,congruent,blue,0.488303,True
50,green,green,congruent,green,0.620814,True
51,green,red,incongruent,red,0.920230,True
52,green,green,congruent,green,0.794235,True
53,blue,yellow,incongruent,yellow,0.800716,True
54,red,yellow,incongruent,yellow,0.560582,True
55,blue,blue,congruent,blue,0.744527,True
56,red,green,incongruent,green,0.968261,True
57,green,green,congruent,green,0.545595,True
58,red,green,incongruent,green,0.643050,True
59,red,red,congruent,red,0.569627,True
60,green,red,incongruent,red,0.697947,True
61,blue,blue,congruent,blue,0.533980,True
62,green,green,congruent,green,0.965681,True
63,blue,blue,congruent,blue,0.566551,True
64,yellow,yellow,congruent,yellow,0.735205,True
65,red,red,congruent,red,1.140190,True
66,red,yellow,incongruent,yellow,1.232989,True
67,yellow,red,incongruent,red,1.288509,True
68,yellow,yellow,congruent,yellow,0.732208,True
69,red,red,congruent,red,0.574574,True
70,red,red,congruent,red,0.393556,True
71,red,blue,incongruent,blue,0.562320,True
72,blue,blue,congruent,blue,0.532288,True
73,blue,red,incongruent,red,1.463517,True
74,yellow,blue,incongruent,red,1.205952,False
75,yellow,yellow,congruent,yellow,0.821802,True
76,blue,yellow,incongruent,yellow,0.461872,True
77,red,red,congruent,red,0.801096,True
78,yellow,green,incongruent,green,0.728515,True
79,green,blue,incongruent,blue,0.587054,True
80,blue,blue,congruent,blue,0.460756,True
81,yellow,yellow,congruent,yellow,0.547609,True
82,red,blue,incongruent,blue,1.588324,True
83,red,blue,incongruent,blue,0.350733,True
84,blue,red,incongruent,red,0.735406,True
85,red,red,congruent,red,0.522650,True
86,red,red,congruent,blue,0.391570,False
87,red,red,congruent,red,1.075585,True
88,blue,blue,congruent,blue,0.560874,True
89,blue,yellow,incongruent,yellow,0.531604,True
90,yellow,blue,incongruent,blue,1.247830,True
91,yellow,green,incongruent,yellow,0.794518,False
92,yellow,blue,incongruent,blue,2.277325,True
93,green,yellow,incongruent,yellow,0.874172,True
94,blue,green,incongruent,green,0.592217,True
95,red,red,congruent,red,0.576664,True
96,red,yellow,incongruent,yellow,0.570728,True
97,blue,blue,congruent,blue,0.698635,True
98,blue,blue,congruent,blue,0.495448,True
99,blue,blue,congruent,blue,0.350054,True
100,green,green,congruent,green,0.664123,True
101,red,green,incongruent,green,1.318152,True
102,red,green,incongruent,green,0.420901,True
103,green,blue,incongruent,blue,0.881529,True
104,red,blue,incongruent,blue,0.439529,True
105,red,red,congruent,red,1.105367,True
106,red,red,congruent,red,0.494246,True
107,blue,green,incongruent,green,2.602999,True
108,green,yellow,incongruent,yellow,0.507306,True
109,yellow,yellow,congruent,yellow,0.440525,True
110,green,green,congruent,green,0.686528,True
111,green,green,congruent,green,0.476444,True
112,blue,yellow,incongruent,yellow,0.482962,True
113,blue,blue,congruent,blue,0.488083,True
114,blue,green,incongruent,green,1.612836,True
115,red,yellow,incongruent,yellow,0.532679,True
116,yellow,yellow,congruent,yellow,0.600527,True
117,green,red,incongruent,red,0.925468,True
118,yellow,yellow,congruent,yellow,0.569685,True
119,green,yellow,incongruent,yellow,0.507965,True
120,yellow,yellow,congruent,yellow,0.338368,True
