trialnum,colourtext,colourname,condition,response,rt,correct
1,red,yellow,incongruent,yellow,0.977627,True
2,blue,yellow,incongruent,yellow,0.618386,True
3,yellow,blue,incongruent,blue,0.736111,True
4,blue,blue,congruent,blue,0.483606,True
5,red,red,congruent,red,0.409758,True
6,green,green,congruent,green,0.451296,True
7,red,blue,incongruent,blue,1.211077,True
8,red,blue,incongruent,blue,0.531316,True
9,red,red,congruent,red,0.574338,True
10,yellow,yellow,congruent,yellow,0.560571,True
11,green,green,congruent,green,0.602827,True
12,green,green,congruent,green,0.531264,True
13,red,yellow,incongruent,yellow,0.724842,True
14,red,red,congruent,red,0.583689,True
15,red,red,congruent,red,0.623869,True
16,yellow,red,incongruent,red,0.614997,True
17,blue,blue,congruent,blue,0.566497,True
18,red,red,congruent,red,0.623387,True
19,red,green,incongruent,green,0.701936,True
20,red,red,congruent,red,0.608899,True
21,green,blue,incongruent,blue,0.648067,True
22,green,blue,incongruent,blue,0.637343,True
23,yellow,yellow,congruent,yellow,0.596129,True
24,red,blue,incongruent,blue,0.649930,True
25,yellow,yellow,congruent,yellow,0.609497,True
26,blue,blue,congruent,blue,0.600941,True
27,yellow,green,incongruent,green,0.751806,True
28,yellow,yellow,congruent,yellow,0.593831,True
29,green,yellow,incongruent,yellow,0.959572,True
30,red,red,congruent,red,0.616954,True
31,red,red,congruent,red,0.679485,True
32,blue,green,incongruent,green,0.889227,True
33,green,green,congruent,green,0.631634,True
34,yellow,yellow,congruent,yellow,0.613827,True
35,blue,red,incongruent,red,0.729848,True
36,blue,blue,congruent,blue,1.082712,True
37,yellow,green,incongruent,green,0.671420,True
38,red,green,incongruent,green,0.644371,True
39,yellow,yellow,congruent,yellow,0.682151,True
40,blue,green,incongruent,green,1.067149,True
41,yellow,yellow,congruent,yellow,0.608266,True
42,yellow,yellow,congruent,yellow,0.616015,True
43,green,green,congruent,green,0.670711,True
44,blue,blue,congruent,blue,0.595308,True
45,blue,blue,congruent,blue,0.626610,True
46,yellow,blue,incongruent,blue,0.689803,True
47,yellow,yellow,congruent,yellow,0.757264,True
48,green,red,incongruent,red,1.082296,True
49,green,blue,incongruent,blue,0.820336,True
50,blue,green,incongruent,green,0.872940,True
51,blue,red,incongruent,red,0.771660,True
52,red,red,congruent,red,0.715505,True
53,blue,yellow,incongruent,yellow,1.336335,True
54,yellow,red,incongruent,red,0.713052,True
55,yellow,green,incongruent,green,0.586960,True
56,yellow,blue,incongruent,blue,0.652784,True
57,green,green,congruent,green,0.674252,True
58,green,green,congruent,green,0.638777,True
59,red,red,congruent,red,0.604567,True
60,green,green,congruent,green,0.636390,True
61,green,yellow,incongruent,yellow,0.824754,True
62,red,red,congruent,red,0.702151,True
63,green,red,incongruent,red,0.720566,True
64,green,green,congruent,green,0.667376,True
65,blue,blue,congruent,blue,0.663415,True
66,green,green,congruent,green,0.706480,True
67,green,yellow,incongruent,yellow,0.727540,True
68,green,red,incongruent,red,0.816561,True
69,red,yellow,incongruent,yellow,0.806314,True
70,red,green,incongruent,green,0.717210,True
71,blue,green,incongruent,green,0.687701,True
72,yellow,red,incongruent,red,0.746509,True
73,yellow,yellow,congruent,yellow,0.729928,True
74,green,blue,incongruent,blue,0.962754,True
75,blue,blue,congruent,blue,0.682198,True
76,red,green,incongruent,green,0.838546,True
77,yellow,green,incongruent,green,0.676290,True
78,yellow,blue,incongruent,blue,0.743767,True
79,blue,yellow,incongruent,yellow,0.721527,True
80,blue,blue,congruent,blue,0.643740,True
81,blue,yellow,incongruent,yellow,0.951530,True
82,yellow,blue,incongruent,blue,0.703988,True
83,red,red,congruent,red,0.714452,True
84,green,yellow,incongruent,yellow,1.018313,True
85,red,green,incongruent,green,0.688670,True
86,yellow,yellow,congruent,yellow,0.882214,True
87,yellow,green,incongruent,green,0.717151,True
88,blue,red,incongruent,red,0.805701,True
89,green,green,congruent,green,0.780432,True
90,red,yellow,incongruent,yellow,0.904422,True
91,green,green,congruent,green,0.701950,True
92,yellow,yellow,congruent,yellow,0.696873,True
93,blue,blue,congruent,blue,0.745078,True
94,blue,blue,congruent,blue,0.793098,True
95,yellow,yellow,congruent,yellow,0.967825,True
96,green,green,congruent,green,0.705938,True
97,green,red,incongruent,red,0.731694,True
98,yellow,yellow,congruent,yellow,0.638042,True
99,blue,green,incongruent,green,0.969145,True
100,yellow,yellow,congruent,yellow,0.641847,True
101,red,blue,incongruent,blue,0.734513,True
102,green,yellow,incongruent,yellow,0.838884,True
103,blue,blue,congruent,blue,1.207280,True
104,green,green,congruent,green,0.631316,True
105,yellow,red,incongruent,red,0.723935,True
106,red,red,congruent,red,0.733892,True
107,blue,blue,congruent,blue,0.727318,True
108,red,yellow,incongruent,yellow,1.087037,True
109,blue,red,incongruent,red,0.800972,True
110,red,red,congruent,red,0.751530,True
111,blue,blue,congruent,blue,0.823596,True
112,green,red,incongruent,red,1.082637,True
113,green,blue,incongruent,blue,0.829248,True
114,blue,red,incongruent,red,0.943904,True
115,red,blue,incongruent,blue,1.166518,True
116,yellow,red,incongruent,red,0.727818,True
117,red,red,congruent,red,0.753452,True
118,blue,yellow,incongruent,yellow,0.817755,True
119,green,green,congruent,green,0.735705,True
120,blue,blue,congruent,blue,0.760451,True
