trialnum,colourtext,colourname,condition,response,rt,correct
1,red,yellow,incongruent,yellow,0.727788,True
2,green,green,congruent,green,0.562633,True
3,red,yellow,incongruent,yellow,0.769886,True
4,yellow,blue,incongruent,blue,0.668800,True
5,green,green,congruent,green,0.602376,True
6,red,blue,incongruent,blue,0.998508,True
7,yellow,red,incongruent,red,0.678155,True
8,blue,blue,congruent,blue,0.587074,True
9,blue,blue,congruent,blue,0.476843,True
10,green,yellow,incongruent,yellow,0.737384,True
11,yellow,red,incongruent,red,0.595287,True
12,green,yellow,incongruent,yellow,0.714493,True
13,yellow,green,incongruent,green,0.654294,True
14,blue,blue,congruent,blue,0.468969,True
15,yellow,blue,incongruent,blue,0.554577,True
16,blue,green,incongruent,green,0.668429,True
17,green,green,congruent,green,0.474634,True
18,blue,blue,congruent,blue,0.567820,True
19,red,green,incongruent,yellow,0.728573,False
20,green,green,congruent,green,0.817254,True
21,yellow,green,incongruent,green,0.625167,True
22,green,blue,incongruent,blue,0.647436,True
23,blue,green,incongruent,green,1.365178,True
24,blue,yellow,incongruent,yellow,0.624744,True
25,yellow,green,incongruent,green,0.615640,True
26,red,blue,incongruent,blue,1.097745,True
27,yellow,red,incongruent,red,0.636979,True
28,green,yellow,incongruent,yellow,0.627603,True
29,red,red,congruent,red,0.578322,True
30,blue,blue,congruent,blue,0.809441,True
31,blue,red,incongruent,red,0.728250,True
32,red,red,congruent,red,0.523332,True
33,blue,blue,congruent,blue,0.710186,True
34,green,green,congruent,green,0.673621,True
35,green,blue,incongruent,blue,0.653893,True
36,red,red,congruent,red,0.548096,True
37,red,red,congruent,red,0.645177,True
38,yellow,red,incongruent,red,0.609982,True
39,yellow,blue,incongruent,blue,0.713945,True
40,red,red,congruent,red,0.610878,True
41,green,red,incongruent,red,0.602759,True
42,yellow,blue,incongruent,blue,0.668819,True
43,yellow,yellow,congruent,yellow,0.554856,True
44,yellow,yellow,congruent,yellow,0.691479,True
45,blue,green,incongruent,blue,0.670657,False
46,blue,yellow,incongruent,yellow,0.747171,True
47,red,green,incongruent,red,1.435655,False
48,yellow,yellow,congruent,yellow,0.580983,True
49,red,red,congruent,red,0.499811,True
50,red,green,incongruent,green,0.896386,True
51,green,green,congruent,green,0.642577,True
52,blue,blue,congruent,blue,0.872206,True
53,red,yellow,incongruent,yellow,0.629043,True
54,red,red,congruent,red,0.602590,True
55,green,blue,incongruent,blue,0.960211,True
56,blue,blue,congruent,blue,0.617108,True
57,blue,blue,congruent,blue,0.624480,True
58,green,green,congruent,green,0.647617,True
59,blue,blue,congruent,blue,0.668146,True
60,yellow,yellow,congruent,yellow,0.593925,True
61,red,green,incongruent,green,0.872080,True
62,yellow,green,incongruent,green,0.597585,True
63,green,green,congruent,green,0.547323,True
64,blue,yellow,incongruent,yellow,0.624124,True
65,blue,red,incongruent,red,0.646226,True
66,yellow,blue,incongruent,blue,0.935639,True
67,green,red,incongruent,red,0.715219,True
68,yellow,yellow,congruent,yellow,0.535200,True
69,red,red,congruent,red,0.489907,True
70,blue,blue,congruent,blue,0.534681,True
71,green,green,congruent,green,0.704351,True
72,yellow,yellow,congruent,yellow,0.556300,True
73,red,yellow,incongruent,yellow,0.669509,True
74,yellow,green,incongruent,blue,0.736867,False
75,red,green,incongruent,green,0.675186,True
76,blue,blue,congruent,blue,0.639303,True
77,red,red,congruent,red,0.589720,True
78,red,red,congruent,red,0.717514,True
79,green,blue,incongruent,blue,0.862216,True
80,blue,yellow,incongruent,yellow,0.643018,True
81,yellow,yellow,congruent,yellow,0.752846,True
82,red,red,congruent,red,0.626316,True
83,green,green,congruent,green,0.784352,True
84,yellow,yellow,congruent,yellow,0.553622,True
85,red,red,congruent,red,0.555341,True
86,green,yellow,incongruent,yellow,0.772390,True
87,red,blue,incongruent,blue,0.763985,True
88,blue,green,incongruent,green,0.603380,True
89,red,red,congruent,red,0.597568,True
90,yellow,yellow,congruent,yellow,0.677577,True
91,green,green,congruent,green,0.698220,True
92,blue,red,incongruent,red,0.843603,True
93,green,blue,incongruent,blue,0.745239,True
94,yellow,yellow,congruent,yellow,0.857301,True
95,red,blue,incongruent,blue,0.949262,True
96,blue,blue,congruent,blue,0.686768,True
97,blue,green,incongruent,green,0.731032,True
98,red,red,congruent,red,0.613342,True
99,green,red,incongruent,red,0.761598,True
100,green,red,incongruent,red,0.626878,True
101,green,green,congruent,green,0.865739,True
102,green,green,congruent,green,0.767544,True
103,yellow,red,incongruent,yellow,1.021423,False
104,red,yellow,incongruent,yellow,0.771398,True
105,blue,blue,congruent,blue,0.667988,True
106,yellow,yellow,congruent,yellow,0.577864,True
107,yellow,yellow,congruent,yellow,0.634113,True
108,blue,blue,congruent,blue,0.664393,True
109,blue,yellow,incongruent,yellow,0.907336,True
110,green,green,congruent,green,0.591326,True
111,green,green,congruent,green,0.623876,True
112,yellow,yellow,congruent,yellow,0.591350,True
113,blue,red,incongruent,red,0.663084,True
114,blue,red,incongruent,red,0.674431,True
115,yellow,yellow,congruent,yellow,0.570368,True
116,green,red,incongruent,red,1.301398,True
117,red,red,congruent,red,0.704111,True
118,red,blue,incongruent,blue,0.944910,True
119,green,yellow,incongruent,yellow,0.801280,True
120,yellow,yellow,congruent,yellow,0.681167,True
