trialnum,colourtext,colourname,condition,response,rt,correct
1,blue,blue,congruent,blue,0.641743,True
2,green,red,incongruent,green,0.664815,False
3,blue,blue,congruent,blue,0.637416,True
4,yellow,yellow,congruent,yellow,0.604976,True
5,blue,blue,congruent,blue,0.533471,True
6,green,green,congruent,green,0.513643,True
7,red,yellow,incongruent,yellow,1.030026,True
8,red,green,incongruent,green,0.710660,True
9,blue,red,incongruent,red,1.364112,True
10,red,red,congruent,red,0.684931,True
11,red,red,congruent,red,0.681044,True
12,green,yellow,incongruent,yellow,0.971208,True
13,blue,green,incongruent,green,0.914115,True
14,blue,blue,congruent,blue,0.642567,True
15,blue,blue,congruent,blue,0.659110,True
16,blue,red,incongruent,red,0.554077,True
17,green,blue,incongruent,blue,0.961349,True
18,red,green,incongruent,green,0.588276,True
19,yellow,red,incongruent,red,0.620897,True
20,yellow,blue,incongruent,blue,0.699808,True
21,blue,red,incongruent,red,0.703218,True
22,yellow,yellow,congruent,yellow,0.556387,True
23,yellow,yellow,congruent,yellow,0.590645,True
24,green,red,incongruent,red,0.765693,True
25,blue,yellow,incongruent,yellow,0.575731,True
26,yellow,yellow,congruent,yellow,0.601249,True
27,red,red,congruent,red,0.497600,True
28,red,red,congruent,red,0.470765,True
29,green,blue,incongruent,blue,0.508973,True
30,yellow,blue,incongruent,blue,0.537550,True
31,red,blue,incongruent,blue,0.509142,True
32,green,red,incongruent,red,0.855074,True
33,red,red,congruent,red,0.612717,True
34,blue,green,incongruent,green,0.730485,True
35,red,red,congruent,red,0.502839,True
36,red,yellow,incongruent,yellow,0.571760,True
37,blue,blue,congruent,blue,0.612828,True
38,red,green,incongruent,green,0.707360,True
39,yellow,red,incongruent,red,0.838852,True
40,blue,blue,congruent,blue,0.613694,True
41,blue,yellow,incongruent,yellow,0.572479,True
42,red,red,congruent,red,0.520541,True
43,green,yellow,incongruent,yellow,0.564929,True
44,blue,green,incongruent,green,0.693667,True
45,green,yellow,incongruent,yellow,0.665952,True
46,yellow,yellow,congruent,yellow,0.583703,True
47,green,green,congruent,blue,0.639646,False
48,yellow,yellow,congruent,yellow,0.781604,True
49,yellow,yellow,congruent,yellow,0.487304,True
50,red,blue,incongruent,blue,1.135489,True
51,green,green,congruent,green,0.444259,True
52,blue,blue,congruent,blue,0.531534,True
53,green,green,congruent,green,0.487523,True
54,red,red,congruent,red,0.484997,True
55,green,green,congruent,green,0.522851,True
56,blue,blue,congruent,blue,0.677074,True
57,yellow,red,incongruent,red,0.705679,True
58,blue,blue,congruent,blue,0.574338,True
59,green,red,incongruent,red,0.735069,True
60,red,green,incongruent,green,0.658226,True
61,red,red,congruent,yellow,0.695889,False
62,green,yellow,incongruent,yellow,0.762102,True
63,green,green,congruent,green,0.667167,True
64,yellow,green,incongruent,green,0.627045,True
65,yellow,yellow,congruent,yellow,0.618433,True
66,blue,green,incongruent,green,0.903405,True
67,red,red,congruent,red,0.896623,True
68,blue,yellow,incongruent,yellow,0.746835,True
69,yellow,blue,incongruent,blue,0.669950,True
70,green,red,incongruent,red,0.682758,True
71,blue,red,incongruent,red,0.599583,True
72,red,red,congruent,red,0.686698,True
73,yellow,red,incongruent,red,0.635340,True
74,red,yellow,incongruent,yellow,1.054734,True
75,green,green,congruent,green,0.620547,True
76,red,blue,incongruent,blue,0.714547,True
77,green,yellow,incongruent,yellow,0.638294,True
78,blue,yellow,incongruent,yellow,0.660717,True
79,blue,blue,congruent,blue,0.594737,True
80,red,red,congruent,red,0.635359,True
81,yellow,blue,incongruent,blue,0.935849,True
82,yellow,yellow,congruent,yellow,0.642879,True
83,yellow,green,incongruent,green,0.657049,True
84,green,green,congruent,green,0.734036,True
85,blue,blue,congruent,blue,0.965125,True
86,red,yellow,incongruent,yellow,0.765683,True
87,red,yellow,incongruent,yellow,0.670634,True
88,yellow,yellow,congruent,yellow,0.691595,True
89,green,green,congruent,green,0.608738,True
90,yellow,green,incongruent,yellow,0.664780,False
91,green,blue,incongruent,blue,1.279733,True
92,red,blue,incongruent,blue,0.667052,True
93,blue,blue,congruent,blue,0.650959,True
94,yellow,yellow,congruent,yellow,0.538476,True
95,green,green,congruent,green,0.550170,True
96,yellow,green,incongruent,yellow,0.822414,False
97,red,red,congruent,red,0.621138,True
98,red,red,congruent,red,0.699816,True
99,green,green,congruent,green,1.108285,True
100,blue,green,incongruent,green,0.568837,True
101,blue,blue,congruent,blue,0.633645,True
102,green,green,congruent,green,0.608697,True
103,green,blue,incongruent,blue,1.219232,True
104,yellow,blue,incongruent,blue,0.793309,True
105,green,green,congruent,green,0.705855,True
106,green,green,congruent,green,0.701422,True
107,blue,red,incongruent,red,0.687859,True
108,green,green,congruent,green,0.779704,True
109,red,green,incongruent,green,0.682938,True
110,blue,blue,congruent,blue,1.029193,True
111,yellow,green,incongruent,green,1.222477,True
112,yellow,red,incongruent,red,0.773974,True
113,yellow,yellow,congruent,yellow,0.584354,True
114,red,blue,incongruent,blue,1.489883,True
115,yellow,yellow,congruent,yellow,0.647167,True
116,blue,yellow,incongruent,blue,0.936640,False
117,yellow,yellow,congruent,yellow,0.607046,True
118,red,red,congruent,red,0.686515,True
119,yellow,yellow,congruent,yellow,0.635461,True
120,green,blue,incongruent,blue,0.848195,True
