trialnum,colourtext,colourname,condition,response,rt,correct
1,red,blue,incongruent,blue,0.871741,True
2,green,blue,incongruent,blue,0.653090,True
3,blue,red,incongruent,red,0.524090,True
4,red,blue,incongruent,blue,0.726854,True
5,blue,green,incongruent,green,0.579315,True
6,red,red,congruent,red,0.579168,True
7,blue,yellow,incongruent,yellow,0.709315,True
8,green,green,congruent,green,0.514718,True
9,red,red,congruent,red,0.494130,True
10,red,red,congruent,red,0.381213,True
11,yellow,yellow,congruent,yellow,0.463399,True
12,red,red,congruent,red,0.396698,True
13,green,green,congruent,blue,0.504064,False
14,yellow,red,incongruent,red,0.850372,True
15,yellow,yellow,congruent,yellow,0.585081,True
16,blue,yellow,incongruent,yellow,0.475011,True
17,blue,blue,congruent,blue,0.576275,True
18,green,blue,incongruent,blue,0.673335,True
19,blue,blue,congruent,blue,0.535525,True
20,red,yellow,incongruent,yellow,0.856876,True
21,blue,red,incongruent,red,0.559004,True
22,green,green,congruent,green,0.641468,True
23,green,green,congruent,green,0.529066,True
24,green,yellow,incongruent,yellow,0.650850,True
25,red,red,congruent,blue,0.705080,False
26,red,yellow,incongruent,yellow,1.272062,True
27,blue,red,incongruent,red,1.691941,True
28,yellow,blue,incongruent,blue,1.172264,True
29,yellow,yellow,congruent,yellow,0.598547,True
30,yellow,red,incongruent,red,0.574511,True
31,blue,blue,congruent,blue,0.560658,True
32,green,green,congruent,green,0.579720,True
33,green,blue,incongruent,yellow,0.611103,False
34,yellow,yellow,congruent,yellow,0.563557,True
35,red,red,congruent,red,0.591055,True
36,red,blue,incongruent,yellow,0.751612,False
37,green,green,congruent,green,0.728739,True
38,red,red,congruent,red,0.539376,True
39,yellow,blue,incongruent,blue,1.210311,True
40,blue,blue,congruent,blue,0.578707,True
41,red,green,incongruent,green,0.857726,True
42,blue,yellow,incongruent,yellow,0.617042,True
43,blue,blue,congruent,blue,0.703331,True
44,blue,blue,congruent,blue,0.595240,True
45,green,green,congruent,green,0.587782,True
46,green,green,congruent,green,0.565888,True
47,red,red,congruent,blue,0.718084,False
48,blue,blue,congruent,blue,1.276159,True
49,blue,green,incongruent,green,0.634218,True
50,yellow,blue,incongruent,blue,1.029407,True
51,red,yellow,incongruent,yellow,0.810601,True
52,blue,blue,congruent,blue,0.626924,True
53,yellow,red,incongruent,yellow,0.786448,False
54,yellow,yellow,congruent,yellow,0.627920,True
55,green,red,incongruent,red,1.055516,True
56,yellow,red,incongruent,red,0.622414,True
57,red,red,congruent,red,0.598113,True
58,blue,green,incongruent,green,0.813388,True
59,blue,yellow,incongruent,blue,0.873239,False
60,yellow,green,incongruent,green,1.569815,True
61,green,yellow,incongruent,green,1.643183,False
62,green,yellow,incongruent,yellow,0.626070,True
63,blue,red,incongruent,red,0.736217,True
64,yellow,yellow,congruent,yellow,0.619729,True
65,yellow,blue,incongruent,yellow,0.841532,False
66,yellow,yellow,congruent,yellow,0.608529,True
67,blue,yellow,incongruent,yellow,1.029730,True
68,blue,blue,congruent,blue,0.848659,True
69,blue,blue,congruent,blue,0.736608,True
70,red,green,incongruent,green,0.699345,True
71,green,red,incongruent,red,0.638827,True
72,blue,blue,congruent,blue,0.669209,True
73,yellow,yellow,congruent,yellow,0.627015,True
74,red,blue,incongruent,blue,1.181201,True
75,blue,blue,congruent,blue,0.638129,True
76,red,red,congruent,red,0.549656,True
77,green,red,incongruent,red,1.449208,True
78,blue,red,incongruent,red,0.734457,True
79,green,green,congruent,green,0.919290,True
80,yellow,green,incongruent,green,0.753640,True
81,green,yellow,incongruent,yellow,0.691164,True
82,yellow,green,incongruent,green,0.703187,True
83,yellow,blue,incongruent,blue,0.753582,True
84,blue,blue,congruent,blue,0.643533,True
85,green,green,congruent,green,0.594921,True
86,green,blue,incongruent,blue,1.007374,True
87,red,yellow,incongruent,yellow,0.751652,True
88,yellow,yellow,congruent,yellow,0.633824,True
89,green,red,incongruent,red,0.695554,True
90,yellow,yellow,congruent,yellow,0.500070,True
91,blue,blue,congruent,blue,0.521882,True
92,red,green,incongruent,green,0.621672,True
93,red,red,congruent,red,0.541404,True
94,yellow,green,incongruent,green,0.949614,True
95,yellow,yellow,congruent,yellow,0.575518,True
96,yellow,red,incongruent,red,0.672051,True
97,blue,blue,congruent,blue,0.732644,True
98,green,green,congruent,green,0.600031,True
99,yellow,yellow,congruent,yellow,0.568649,True
100,red,red,congruent,red,0.506201,True
101,yellow,yellow,congruent,yellow,0.487681,True
102,red,red,congruent,red,0.437375,True
103,green,green,congruent,green,0.493157,True
104,red,red,congruent,red,0.466859,True
105,red,blue,incongruent,blue,0.568069,True
106,red,green,incongruent,green,0.593800,True
107,green,green,congruent,green,0.657781,True
108,red,yellow,incongruent,yellow,0.869684,True
109,red,red,congruent,red,0.483538,True
110,blue,green,incongruent,green,0.735712,True
111,green,green,congruent,green,0.562722,True
112,blue,green,incongruent,blue,0.539053,False
113,green,blue,incongruent,blue,0.734245,True
114,green,yellow,incongruent,yellow,0.585698,True
115,yellow,green,incongruent,green,0.642178,True
116,green,red,incongruent,red,0.822820,True
117,green,green,congruent,green,0.558987,True
118,yellow,yellow,congruent,yellow,0.577344,True
119,red,green,incongruent,green,1.063266,True
120,yellow,yellow,congruent,blue,0.840850,False
