trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,blue,incongruent,blue,0.834675,True
2,blue,red,incongruent,red,0.640676,True
3,blue,blue,congruent,blue,0.511690,True
4,yellow,yellow,congruent,yellow,0.555544,True
5,green,yellow,incongruent,yellow,0.551026,True
6,yellow,blue,incongruent,blue,1.028328,True
7,green,green,congruent,green,0.524172,True
8,red,yellow,incongruent,yellow,0.742684,True
9,green,blue,incongruent,blue,0.545122,True
10,blue,green,incongruent,green,0.643314,True
11,yellow,red,incongruent,red,0.752308,True
12,red,red,congruent,red,0.498913,True
13,blue,red,incongruent,red,0.543226,True
14,blue,red,incongruent,red,0.562104,True
15,red,red,congruent,red,0.563754,True
16,yellow,yellow,congruent,yellow,0.471124,True
17,red,blue,incongruent,blue,0.603802,True
18,green,green,congruent,green,0.500878,True
19,green,green,congruent,green,0.584731,True
20,blue,yellow,incongruent,yellow,0.751902,True
21,yellow,red,incongruent,red,0.513714,True
22,yellow,yellow,congruent,yellow,0.627206,True
23,yellow,yellow,congruent,yellow,0.619005,True
24,red,red,congruent,red,0.492637,True
25,green,green,congruent,green,0.990353,True
26,red,green,incongruent,green,0.519550,True
27,yellow,yellow,congruent,yellow,0.515324,True
28,green,yellow,incongruent,yellow,0.543193,True
29,red,green,incongruent,blue,0.569619,False
30,green,green,congruent,green,0.523992,True
31,green,green,congruent,green,0.543736,True
32,red,red,congruent,red,0.483039,True
33,yellow,yellow,congruent,yellow,0.544354,True
34,green,yellow,incongruent,yellow,0.587086,True
35,red,blue,incongruent,blue,0.721825,True
36,blue,green,incongruent,green,0.732513,True
37,blue,red,incongruent,red,0.670173,True
38,blue,blue,congruent,blue,0.547933,True
39,green,red,incongruent,red,0.676950,True
40,green,green,congruent,green,0.547093,True
41,blue,blue,congruent,blue,0.729607,True
42,yellow,green,incongruent,green,0.630668,True
43,green,yellow,incongruent,yellow,0.563479,True
44,red,red,congruent,red,0.654491,True
45,red,red,congruent,red,0.652027,True
46,green,blue,incongruent,green,0.856426,False
47,red,yellow,incongruent,yellow,0.590543,True
48,red,red,congruent,red,0.630667,True
49,green,green,congruent,green,0.651292,True
50,blue,blue,congruent,blue,0.603288,True
51,yellow,blue,incongruent,blue,0.571764,True
52,yellow,blue,incongruent,blue,0.605072,True
53,yellow,yellow,congruent,yellow,0.621531,True
54,blue,blue,congruent,blue,0.596570,True
55,blue,blue,congruent,blue,0.642705,True
56,blue,blue,congruent,blue,0.688812,True
57,yellow,green,incongruent,green,1.115481,True
58,blue,blue,congruent,blue,0.653701,True
59,yellow,yellow,congruent,yellow,0.564219,True
60,green,red,incongruent,red,0.699952,True
61,yellow,yellow,congruent,yellow,0.687493,True
62,red,red,congruent,red,0.635164,True
63,green,blue,incongruent,blue,0.903147,True
64,yellow,yellow,congruent,yellow,0.555788,True
65,yellow,red,incongruent,red,0.738187,True
66,red,green,incongruent,green,0.581688,True
67,blue,blue,congruent,blue,0.645609,True
68,green,red,incongruent,red,0.801288,True
69,red,green,incongruent,green,0.666861,True
70,green,green,congruent,green,0.663820,True
71,red,yellow,incongruent,yellow,0.722265,True
72,blue,yellow,incongruent,yellow,0.703225,True
73,yellow,yellow,congruent,yellow,0.682896,True
74,red,yellow,incongruent,yellow,0.639000,True
75,blue,green,incongruent,green,1.010121,True
76,green,red,incongruent,red,0.704626,True
77,green,blue,incongruent,blue,0.628341,True
78,green,green,congruent,green,0.635066,True
79,blue,yellow,incongruent,yellow,0.745352,True
80,yellow,red,incongruent,red,0.586927,True
81,blue,blue,congruent,blue,0.588700,True
82,red,red,congruent,red,0.628937,True
83,blue,blue,congruent,blue,0.658600,True
84,yellow,blue,incongruent,blue,0.728582,True
85,red,red,congruent,red,0.658853,True
86,green,green,congruent,green,0.594185,True
87,blue,green,incongruent,green,1.046791,True
88,red,red,congruent,red,0.650259,True
89,red,blue,incongruent,blue,0.570440,True
90,green,red,incongruent,red,1.111500,True
91,red,blue,incongruent,blue,0.777876,True
92,red,red,congruent,red,0.769634,True
93,green,blue,incongruent,blue,0.626737,True
94,yellow,red,incongruent,red,0.721011,True
95,yellow,yellow,congruent,yellow,0.620671,True
96,red,yellow,incongruent,yellow,0.595913,True
97,blue,blue,congruent,blue,0.784897,True
98,yellow,yellow,congruent,yellow,0.603748,True
99,green,green,congruent,green,0.627443,True
100,yellow,green,incongruent,yellow,0.666285,False
101,green,green,congruent,green,0.631442,True
102,yellow,yellow,congruent,yellow,0.558478,True
103,blue,blue,congruent,blue,0.552342,True
104,blue,yellow,incongruent,yellow,0.957671,True
105,blue,red,incongruent,red,0.599434,True
106,green,green,congruent,green,1.361204,True
107,blue,green,incongruent,green,0.587118,True
108,red,green,incongruent,green,0.587669,True
109,blue,yellow,incongruent,yellow,0.651780,True
110,yellow,yellow,congruent,yellow,0.585843,True
111,yellow,green,incongruent,green,0.649793,True
112,red,red,congruent,red,0.583236,True
113,red,red,congruent,red,0.583738,True
114,green,yellow,incongruent,yellow,0.854413,True
115,blue,blue,congruent,blue,0.944841,True
116,red,red,congruent,red,0.753706,True
117,yellow,green,incongruent,green,0.842764,True
118,green,green,congruent,green,0.696795,True
119,red,blue,incongruent,blue,1.015494,True
120,blue,blue,congruent,blue,0.617013,True
