trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,yellow,congruent,yellow,0.497461,True
2,red,blue,incongruent,blue,0.820253,True
3,red,red,congruent,red,0.556353,True
4,green,red,incongruent,red,0.535275,True
5,red,green,incongruent,green,0.928421,True
6,blue,red,incongruent,red,0.809123,True
7,blue,green,incongruent,green,0.873033,True
8,yellow,green,incongruent,green,0.686392,True
9,green,red,incongruent,red,0.841270,True
10,blue,blue,congruent,blue,0.489362,True
11,green,blue,incongruent,blue,0.654100,True
12,red,red,congruent,red,0.596973,True
13,blue,red,incongruent,red,0.659537,True
14,green,green,congruent,green,0.604278,True
15,blue,blue,congruent,blue,0.565637,True
16,yellow,green,incongruent,green,1.115976,True
17,blue,blue,congruent,blue,0.718698,True
18,red,red,congruent,red,0.539172,True
19,yellow,yellow,congruent,yellow,0.583166,True
20,red,yellow,incongruent,yellow,0.584411,True
21,yellow,red,incongruent,red,0.712205,True
22,green,yellow,incongruent,yellow,0.643869,True
23,green,green,congruent,green,0.555657,True
24,yellow,red,incongruent,red,0.852456,True
25,yellow,yellow,congruent,yellow,0.555421,True
26,yellow,yellow,congruent,yellow,0.597747,True
27,red,green,incongruent,blue,0.716635,False
28,red,red,congruent,red,1.013016,True
29,blue,blue,congruent,blue,0.619839,True
30,green,green,congruent,green,0.621909,True
31,red,blue,incongruent,blue,0.716340,True
32,blue,red,incongruent,red,0.536697,True
33,blue,green,incongruent,green,0.691572,True
34,yellow,green,incongruent,green,0.632593,True
35,yellow,blue,incongruent,blue,0.686559,True
36,yellow,green,incongruent,green,0.588350,True
37,green,green,congruent,green,0.605482,True
38,yellow,red,incongruent,red,0.668794,True
39,red,red,congruent,red,0.618444,True
40,red,red,congruent,red,0.626004,True
41,yellow,yellow,congruent,yellow,0.649908,True
42,yellow,red,incongruent,red,0.750760,True
43,blue,yellow,incongruent,yellow,0.585851,True
44,blue,yellow,incongruent,yellow,0.579112,True
45,red,yellow,incongruent,red,0.611222,False
46,yellow,blue,incongruent,green,1.088312,False
47,red,blue,incongruent,blue,0.947632,True
48,blue,blue,congruent,blue,0.502992,True
49,blue,yellow,incongruent,green,1.143838,False
50,yellow,yellow,congruent,yellow,0.579537,True
51,green,green,congruent,green,0.778470,True
52,blue,green,incongruent,green,0.754580,True
53,red,green,incongruent,green,0.710908,True
54,blue,blue,congruent,blue,0.563538,True
55,green,green,congruent,green,0.754903,True
56,yellow,red,incongruent,red,1.123808,True
57,yellow,yellow,congruent,yellow,0.624411,True
58,green,yellow,incongruent,yellow,0.869990,True
59,green,green,congruent,green,0.556078,True
60,yellow,yellow,congruent,yellow,0.566924,True
61,green,green,congruent,green,0.505409,True
62,green,blue,incongruent,blue,0.597160,True
63,red,red,congruent,red,0.580142,True
64,green,yellow,incongruent,yellow,0.742736,True
65,green,green,congruent,green,0.633503,True
66,blue,blue,congruent,blue,0.584448,True
67,red,blue,incongruent,blue,0.633243,True
68,blue,blue,congruent,blue,0.631973,True
69,yellow,blue,incongruent,blue,0.591221,True
70,red,green,incongruent,green,1.045431,True
71,blue,red,incongruent,red,1.309566,True
72,blue,blue,congruent,blue,0.650811,True
73,green,green,congruent,green,0.744871,True
74,blue,yellow,incongruent,yellow,0.563918,True
75,blue,green,incongruent,green,0.915543,True
76,green,blue,incongruent,blue,0.844965,True
77,green,green,congruent,green,0.580109,True
78,blue,blue,congruent,blue,0.565653,True
79,blue,green,incongruent,green,0.711175,True
80,yellow,yellow,congruent,yellow,0.548102,True
81,red,yellow,incongruent,yellow,0.622478,True
82,green,yellow,incongruent,yellow,0.495193,True
83,green,green,congruent,green,0.532117,True
84,yellow,yellow,congruent,yellow,0.449489,True
85,blue,blue,congruent,green,0.838414,False
86,blue,blue,congruent,blue,0.589210,True
87,yellow,green,incongruent,green,0.876931,True
88,red,red,congruent,red,0.586663,True
89,green,red,incongruent,red,0.786681,True
90,red,yellow,incongruent,yellow,0.834807,True
91,yellow,yellow,congruent,yellow,0.451272,True
92,green,green,congruent,green,1.030769,True
93,red,blue,incongruent,blue,0.738538,True
94,yellow,blue,incongruent,yellow,0.680656,False
95,blue,blue,congruent,blue,0.714382,True
96,green,green,congruent,green,0.553825,True
97,red,red,congruent,red,0.540539,True
98,green,yellow,incongruent,yellow,0.751319,True
99,yellow,blue,incongruent,blue,0.704516,True
100,yellow,yellow,congruent,yellow,0.605596,True
101,blue,blue,congruent,blue,0.661022,True
102,blue,yellow,incongruent,yellow,0.588623,True
103,red,red,congruent,red,0.454327,True
104,green,red,incongruent,red,0.501584,True
105,blue,blue,congruent,blue,0.665581,True
106,yellow,yellow,congruent,yellow,0.615948,True
107,red,red,congruent,red,0.631140,True
108,yellow,yellow,congruent,yellow,0.543513,True
109,red,red,congruent,red,0.570686,True
110,yellow,yellow,congruent,yellow,0.748047,True
111,red,red,congruent,red,0.471047,True
112,red,green,incongruent,green,0.668673,True
113,green,blue,incongruent,blue,1.165647,True
114,red,red,congruent,red,0.520224,True
115,green,red,incongruent,red,0.755198,True
116,green,blue,incongruent,blue,0.804212,True
117,blue,red,incongruent,red,1.065697,True
118,red,red,congruent,red,0.623044,True
119,green,green,congruent,green,0.901320,True
120,red,yellow,incongruent,yellow,0.617879,True
