trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,blue,incongruent,blue,1.051026,True
2,red,yellow,incongruent,green,0.878638,False
3,red,red,congruent,red,0.713692,True
4,blue,green,incongruent,green,1.325253,True
5,red,red,congruent,red,0.618634,True
6,yellow,yellow,congruent,yellow,0.562187,True
7,green,green,congruent,green,0.523441,True
8,green,blue,incongruent,blue,0.551545,True
9,blue,yellow,incongruent,yellow,0.625180,True
10,red,red,congruent,red,0.536089,True
11,green,green,congruent,green,0.848876,True
12,yellow,green,incongruent,green,0.471771,True
13,blue,red,incongruent,red,0.667763,True
14,yellow,green,incongruent,green,0.664615,True
15,red,red,congruent,red,0.470403,True
16,red,blue,incongruent,blue,0.555711,True
17,yellow,yellow,congruent,yellow,0.590243,True
18,red,green,incongruent,green,0.757535,True
19,red,red,congruent,red,0.503410,True
20,blue,blue,congruent,blue,0.468300,True
21,blue,blue,congruent,blue,0.561756,True
22,blue,red,incongruent,red,0.532224,True
23,blue,blue,congruent,blue,0.622420,True
24,red,green,incongruent,green,1.058296,True
25,blue,blue,congruent,blue,0.607528,True
26,yellow,yellow,congruent,yellow,0.584036,True
27,blue,yellow,incongruent,yellow,0.497186,True
28,yellow,green,incongruent,green,0.626948,True
29,red,blue,incongruent,blue,1.269288,True
30,blue,blue,congruent,blue,0.674916,True
31,green,yellow,incongruent,yellow,0.799019,True
32,red,yellow,incongruent,yellow,0.709706,True
33,red,yellow,incongruent,yellow,0.728454,True
34,yellow,red,incongruent,red,0.666235,True
35,yellow,yellow,congruent,yellow,0.528967,True
36,green,green,congruent,green,0.556060,True
37,yellow,green,incongruent,green,0.559308,True
38,green,red,incongruent,red,0.592706,True
39,blue,blue,congruent,blue,0.593544,True
40,blue,green,incongruent,green,0.896274,True
41,blue,blue,congruent,blue,0.619191,True
42,red,red,congruent,red,0.508551,True
43,red,red,congruent,red,0.608571,True
44,green,green,congruent,green,0.608960,True
45,blue,green,incongruent,green,0.624756,True
46,green,green,congruent,green,0.600225,True
47,red,blue,incongruent,blue,0.670955,True
48,blue,blue,congruent,blue,0.580470,True
49,red,red,congruent,red,0.405854,True
50,blue,yellow,incongruent,yellow,0.711590,True
51,blue,blue,congruent,blue,0.595538,True
52,green,red,incongruent,red,0.714643,True
53,yellow,red,incongruent,red,0.535217,True
54,green,yellow,incongruent,green,0.729327,False
55,green,green,congruent,green,0.603873,True
56,green,green,congruent,green,0.542013,True
57,red,green,incongruent,green,0.593144,True
58,yellow,yellow,congruent,yellow,0.601898,True
59,red,red,congruent,red,0.522291,True
60,green,blue,incongruent,blue,0.605822,True
61,green,blue,incongruent,blue,0.613845,True
62,green,yellow,incongruent,green,0.691328,False
63,yellow,red,incongruent,yellow,0.856088,False
64,green,yellow,incongruent,green,0.590191,False
65,yellow,green,incongruent,yellow,1.051009,False
66,green,green,congruent,green,0.577220,True
67,blue,yellow,incongruent,yellow,0.808982,True
68,red,red,congruent,red,0.513496,True
69,yellow,blue,incongruent,blue,0.571922,True
70,blue,blue,congruent,blue,0.504354,True
71,green,green,congruent,green,0.565247,True
72,red,blue,incongruent,blue,0.693410,True
73,yellow,yellow,congruent,yellow,0.856820,True
74,green,blue,incongruent,blue,0.947735,True
75,green,green,congruent,green,0.542962,True
76,green,green,congruent,green,0.570056,True
77,yellow,blue,incongruent,yellow,0.587780,False
78,yellow,yellow,congruent,yellow,0.517472,True
79,red,red,congruent,red,0.513272,True
80,red,yellow,incongruent,yellow,0.731582,True
81,red,green,incongruent,green,0.631712,True
82,green,red,incongruent,red,0.923575,True
83,blue,blue,congruent,blue,0.487865,True
84,red,red,congruent,red,0.533453,True
85,green,green,congruent,green,0.529554,True
86,blue,blue,congruent,blue,0.555940,True
87,blue,red,incongruent,red,0.606997,True
88,yellow,yellow,congruent,green,0.678762,False
89,yellow,yellow,congruent,yellow,0.547796,True
90,blue,green,incongruent,blue,0.629643,False
91,yellow,red,incongruent,red,1.063843,True
92,red,red,congruent,red,0.630693,True
93,green,green,congruent,green,0.739058,True
94,yellow,blue,incongruent,blue,1.028185,True
95,blue,yellow,incongruent,yellow,0.675506,True
96,yellow,yellow,congruent,yellow,0.640289,True
97,yellow,yellow,congruent,yellow,0.527582,True
98,green,yellow,incongruent,yellow,0.650506,True
99,red,green,incongruent,green,1.068425,True
100,red,yellow,incongruent,yellow,0.712858,True
101,yellow,blue,incongruent,blue,0.698161,True
102,yellow,yellow,congruent,yellow,0.568256,True
103,green,red,incongruent,red,0.688387,True
104,yellow,yellow,congruent,green,0.526472,False
105,yellow,yellow,congruent,yellow,0.934699,True
106,red,blue,incongruent,red,0.719950,False
107,green,green,congruent,green,0.667554,True
108,red,red,congruent,red,0.479884,True
109,blue,green,incongruent,yellow,0.826511,False
110,yellow,yellow,congruent,yellow,0.570939,True
111,blue,blue,congruent,blue,0.611466,True
112,green,red,incongruent,red,0.674851,True
113,green,green,congruent,green,0.632317,True
114,blue,blue,congruent,blue,0.653933,True
115,red,red,congruent,red,0.485380,True
116,blue,blue,congruent,blue,0.546370,True
117,green,blue,incongruent,blue,0.564305,True
118,yellow,red,incongruent,red,0.527768,True
119,blue,red,incongruent,red,0.579298,True
120,blue,red,incongruent,red,0.532651,True
