trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,blue,incongruent,blue,0.917361,True
2,green,green,congruent,green,0.493172,True
3,green,green,congruent,green,0.474646,True
4,yellow,blue,incongruent,blue,0.789455,True
5,green,yellow,incongruent,yellow,0.820695,True
6,red,red,congruent,red,0.460775,True
7,green,green,congruent,green,0.563826,True
8,yellow,blue,incongruent,blue,0.792739,True
9,blue,yellow,incongruent,yellow,0.587392,True
10,green,green,congruent,green,0.637241,True
11,red,blue,incongruent,blue,1.095327,True
12,green,green,congruent,green,0.453026,True
13,yellow,yellow,congruent,yellow,1.191510,True
14,yellow,blue,incongruent,blue,0.798115,True
15,red,red,congruent,red,0.518777,True
16,blue,blue,congruent,blue,1.712697,True
17,red,yellow,incongruent,yellow,1.048069,True
18,red,yellow,incongruent,yellow,0.496091,True
19,yellow,yellow,congruent,yellow,0.459838,True
20,yellow,red,incongruent,red,0.538753,True
21,blue,blue,congruent,blue,0.566170,True
22,red,blue,incongruent,blue,0.575339,True
23,red,red,congruent,red,0.592644,True
24,yellow,yellow,congruent,yellow,0.625447,True
25,red,red,congruent,red,0.520819,True
26,blue,green,incongruent,green,0.794856,True
27,blue,red,incongruent,red,0.959622,True
28,red,red,congruent,red,0.570080,True
29,yellow,yellow,congruent,yellow,0.722508,True
30,blue,red,incongruent,red,0.724101,True
31,yellow,green,incongruent,green,0.671243,True
32,blue,blue,congruent,blue,0.730904,True
33,red,yellow,incongruent,yellow,0.835871,True
34,blue,green,incongruent,green,0.634268,True
35,blue,yellow,incongruent,yellow,0.870475,True
36,blue,blue,congruent,blue,0.571304,True
37,green,red,incongruent,red,0.572884,True
38,green,yellow,incongruent,yellow,0.495859,True
39,blue,blue,congruent,blue,0.665976,True
40,yellow,yellow,congruent,yellow,0.529636,True
41,yellow,green,incongruent,green,0.563008,True
42,green,blue,incongruent,blue,0.962559,True
43,yellow,red,incongruent,red,0.626381,True
44,green,green,congruent,blue,0.753577,False
45,blue,red,incongruent,red,1.222668,True
46,red,red,congruent,red,0.677246,True
47,red,red,congruent,red,0.586840,True
48,green,yellow,incongruent,yellow,0.817786,True
49,red,red,congruent,red,0.552928,True
50,red,red,congruent,red,0.626574,True
51,yellow,yellow,congruent,yellow,0.578365,True
52,blue,blue,congruent,blue,0.618290,True
53,yellow,yellow,congruent,yellow,0.745203,True
54,yellow,red,incongruent,red,0.673357,True
55,blue,yellow,incongruent,yellow,0.790589,True
56,yellow,yellow,congruent,yellow,0.567517,True
57,blue,green,incongruent,green,0.608505,True
58,red,red,congruent,red,0.591985,True
59,green,red,incongruent,red,0.624546,True
60,blue,blue,congruent,blue,0.575974,True
61,green,yellow,incongruent,yellow,0.538445,True
62,green,green,congruent,green,0.581108,True
63,red,green,incongruent,green,0.819560,True
64,blue,blue,congruent,blue,0.530716,True
65,red,red,congruent,red,0.539698,True
66,yellow,yellow,congruent,yellow,0.585641,True
67,red,yellow,incongruent,yellow,0.586461,True
68,red,blue,incongruent,blue,0.594721,True
69,red,red,congruent,red,0.539731,True
70,blue,blue,congruent,blue,0.598530,True
71,green,yellow,incongruent,yellow,0.757784,True
72,blue,yellow,incongruent,yellow,0.647441,True
73,yellow,yellow,congruent,yellow,0.650484,True
74,blue,red,incongruent,blue,0.785534,False
75,yellow,yellow,congruent,yellow,0.578896,True
76,green,blue,incongruent,blue,0.744813,True
77,blue,blue,congruent,blue,0.610816,True
78,green,green,congruent,green,0.516041,True
79,green,red,incongruent,red,0.822381,True
80,red,red,congruent,red,0.597523,True
81,yellow,green,incongruent,yellow,0.582174,False
82,yellow,red,incongruent,red,1.351849,True
83,red,green,incongruent,green,1.300329,True
84,green,red,incongruent,red,0.813709,True
85,red,green,incongruent,green,0.936474,True
86,green,red,incongruent,red,0.692082,True
87,green,green,congruent,green,0.886649,True
88,red,blue,incongruent,blue,0.888318,True
89,yellow,yellow,congruent,yellow,0.573380,True
90,red,red,congruent,red,0.534573,True
91,red,green,incongruent,green,1.006207,True
92,blue,blue,congruent,blue,0.534459,True
93,yellow,green,incongruent,green,0.831438,True
94,blue,blue,congruent,blue,0.526049,True
95,blue,red,incongruent,red,0.641035,True
96,yellow,yellow,congruent,yellow,0.488980,True
97,red,red,congruent,red,0.620902,True
98,blue,yellow,incongruent,yellow,0.731047,True
99,red,blue,incongruent,blue,1.033400,True
100,green,green,congruent,green,0.513212,True
101,green,green,congruent,green,0.571015,True
102,red,yellow,incongruent,yellow,0.836659,True
103,green,green,congruent,green,0.651077,True
104,yellow,yellow,congruent,yellow,0.545289,True
105,blue,blue,congruent,blue,0.538977,True
106,green,blue,incongruent,green,0.591609,False
107,blue,green,incongruent,green,0.925521,True
108,green,blue,incongruent,green,1.108526,False
109,yellow,red,incongruent,red,1.012434,True
110,green,blue,incongruent,blue,1.364229,True
111,yellow,blue,incongruent,blue,0.797106,True
112,red,green,incongruent,green,0.611533,True
113,green,green,congruent,green,0.526101,True
114,green,green,congruent,green,0.641069,True
115,blue,blue,congruent,blue,0.662709,True
116,yellow,green,incongruent,green,0.737945,True
117,blue,blue,congruent,blue,0.597967,True
118,blue,green,incongruent,green,0.868210,True
119,green,green,congruent,green,0.720241,True
120,yellow,yellow,congruent,yellow,0.595629,True
