trialnum,colourtext,colourname,condition,response,rt,correct
1,blue,red,incongruent,red,0.796167,True
2,green,red,incongruent,red,0.538888,True
3,blue,blue,congruent,blue,0.607705,True
4,yellow,red,incongruent,red,0.591851,True
5,blue,blue,congruent,blue,0.481527,True
6,blue,blue,congruent,blue,0.502807,True
7,blue,red,incongruent,red,0.459974,True
8,red,red,congruent,red,0.522432,True
9,yellow,yellow,congruent,yellow,0.534330,True
10,green,green,congruent,green,1.052687,True
11,blue,blue,congruent,blue,0.538451,True
12,blue,blue,congruent,blue,0.604952,True
13,yellow,blue,incongruent,blue,0.604965,True
14,blue,yellow,incongruent,green,0.874651,False
15,green,green,congruent,green,0.734245,True
16,green,yellow,incongruent,yellow,0.656071,True
17,red,yellow,incongruent,yellow,0.550071,True
18,yellow,yellow,congruent,yellow,0.536487,True
19,red,red,congruent,red,0.451859,True
20,yellow,blue,incongruent,blue,0.680807,True
21,yellow,yellow,congruent,yellow,0.611435,True
22,green,green,congruent,green,0.526130,True
23,red,red,congruent,red,0.719289,True
24,red,red,congruent,red,0.546670,True
25,red,red,congruent,red,0.571043,True
26,red,yellow,incongruent,yellow,0.622842,True
27,blue,blue,congruent,blue,1.065970,True
28,green,green,congruent,green,0.496931,True
29,red,blue,incongruent,blue,0.959993,True
30,yellow,yellow,congruent,yellow,0.555940,True
31,red,blue,incongruent,blue,0.860915,True
32,blue,blue,congruent,blue,0.579438,True
33,green,blue,incongruent,blue,0.587236,True
34,red,red,congruent,red,0.550238,True
35,green,green,congruent,green,0.648433,True
36,yellow,blue,incongruent,blue,1.137331,True
37,green,red,incongruent,red,0.715007,True
38,red,red,congruent,red,0.606361,True
39,yellow,green,incongruent,green,0.876644,True
40,red,green,incongruent,green,0.538642,True
41,yellow,blue,incongruent,blue,0.708023,True
42,red,blue,incongruent,blue,0.607751,True
43,yellow,green,incongruent,green,0.853975,True
44,yellow,red,incongruent,blue,0.770076,False
45,blue,blue,congruent,blue,0.761879,True
46,green,yellow,incongruent,yellow,0.896661,True
47,blue,blue,congruent,blue,0.986210,True
48,yellow,yellow,congruent,yellow,0.857277,True
49,red,red,congruent,red,0.598944,True
50,blue,blue,congruent,blue,0.860795,True
51,green,green,congruent,green,0.770258,True
52,red,yellow,incongruent,yellow,0.817600,True
53,red,blue,incongruent,blue,0.886206,True
54,green,green,congruent,green,0.651174,True
55,green,yellow,incongruent,yellow,0.625237,True
56,red,red,congruent,red,0.560619,True
57,red,blue,incongruent,blue,1.158236,True
58,red,red,congruent,red,0.576558,True
59,blue,yellow,incongruent,yellow,0.657666,True
60,red,red,congruent,red,0.710069,True
61,blue,red,incongruent,red,0.705344,True
62,blue,yellow,incongruent,yellow,0.685224,True
63,green,green,congruent,green,0.792336,True
64,green,green,congruent,green,0.648433,True
65,yellow,red,incongruent,red,1.042262,True
66,yellow,red,incongruent,red,0.783551,True
67,blue,red,incongruent,red,0.766722,True
68,green,yellow,incongruent,yellow,0.814616,True
69,yellow,yellow,congruent,yellow,0.788067,True
70,green,green,congruent,green,0.668275,True
71,red,green,incongruent,green,0.656953,True
72,green,green,congruent,green,0.638508,True
73,yellow,yellow,congruent,yellow,0.620812,True
74,blue,red,incongruent,red,0.642983,True
75,yellow,yellow,congruent,yellow,0.649474,True
76,green,blue,incongruent,blue,0.781043,True
77,red,red,congruent,red,0.549786,True
78,yellow,yellow,congruent,yellow,0.512818,True
79,yellow,yellow,congruent,yellow,0.674061,True
80,red,red,congruent,red,0.592789,True
81,green,blue,incongruent,blue,0.696526,True
82,blue,green,incongruent,green,0.539898,True
83,blue,green,incongruent,green,0.656084,True
84,red,red,congruent,yellow,0.645438,False
85,yellow,yellow,congruent,yellow,0.658230,True
86,blue,yellow,incongruent,yellow,0.728768,True
87,yellow,yellow,congruent,yellow,0.626609,True
88,blue,yellow,incongruent,yellow,0.587202,True
89,green,green,congruent,green,0.698985,True
90,red,red,congruent,red,0.495335,True
91,green,red,incongruent,red,0.650554,True
92,red,green,incongruent,green,0.824226,True
93,blue,green,incongruent,green,0.583977,True
94,yellow,green,incongruent,green,0.561153,True
95,green,green,congruent,green,0.539963,True
96,red,green,incongruent,green,0.590738,True
97,green,blue,incongruent,blue,0.543471,True
98,yellow,green,incongruent,green,0.634349,True
99,blue,blue,congruent,blue,0.576410,True
100,blue,green,incongruent,green,0.760918,True
101,red,green,incongruent,green,0.650933,True
102,blue,blue,congruent,blue,0.615927,True
103,green,green,congruent,green,0.631441,True
104,red,yellow,incongruent,yellow,0.732780,True
105,green,red,incongruent,red,0.646131,True
106,yellow,green,incongruent,green,0.849328,True
107,yellow,red,incongruent,red,0.672126,True
108,red,yellow,incongruent,yellow,0.613778,True
109,blue,blue,congruent,blue,0.571076,True
110,blue,green,incongruent,green,0.647077,True
111,yellow,yellow,congruent,yellow,0.507960,True
112,green,green,congruent,blue,0.562467,False
113,green,red,incongruent,red,0.658680,True
114,blue,blue,congruent,blue,0.625950,True
115,green,blue,incongruent,blue,0.720215,True
116,green,yellow,incongruent,yellow,0.580171,True
117,blue,blue,congruent,blue,0.563257,True
118,yellow,yellow,congruent,yellow,0.567269,True
119,yellow,yellow,congruent,yellow,0.576394,True
120,yellow,blue,incongruent,yellow,0.656861,False
