trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,yellow,congruent,yellow,0.575881,True
2,blue,blue,congruent,blue,0.624905,True
3,green,yellow,incongruent,yellow,0.736020,True
4,red,blue,incongruent,blue,1.425050,True
5,blue,red,incongruent,red,0.749835,True
6,yellow,yellow,congruent,yellow,0.599112,True
7,yellow,red,incongruent,red,0.668707,True
8,blue,yellow,incongruent,yellow,0.680505,True
9,yellow,green,incongruent,green,0.673157,True
10,green,green,congruent,green,0.600186,True
11,yellow,blue,incongruent,blue,0.883779,True
12,red,red,congruent,red,0.519894,True
13,green,red,incongruent,red,0.855583,True
14,yellow,yellow,congruent,yellow,0.462133,True
15,green,yellow,incongruent,yellow,0.823418,True
16,blue,red,incongruent,red,1.493743,True
17,yellow,yellow,congruent,yellow,0.577894,True
18,red,red,congruent,red,0.538519,True
19,green,yellow,incongruent,yellow,1.047804,True
20,blue,green,incongruent,green,0.699251,True
21,blue,blue,congruent,blue,0.589516,True
22,yellow,yellow,congruent,yellow,0.510253,True
23,blue,green,incongruent,green,0.997266,True
24,green,blue,incongruent,blue,1.274701,True
25,red,blue,incongruent,red,0.562499,False
26,yellow,yellow,congruent,yellow,0.839825,True
27,blue,yellow,incongruent,yellow,0.931515,True
28,green,green,congruent,green,0.573221,True
29,yellow,yellow,congruent,yellow,0.518403,True
30,yellow,green,incongruent,green,0.616442,True
31,blue,blue,congruent,blue,0.653547,True
32,blue,yellow,incongruent,yellow,0.674011,True
33,red,red,congruent,red,0.550189,True
34,blue,red,incongruent,red,0.717882,True
35,yellow,green,incongruent,green,0.711345,True
36,blue,blue,congruent,blue,0.514273,True
37,red,red,congruent,red,0.572887,True
38,blue,blue,congruent,blue,0.541501,True
39,green,green,congruent,green,0.678914,True
40,blue,blue,congruent,blue,0.593681,True
41,yellow,green,incongruent,yellow,0.808594,False
42,red,red,congruent,red,0.615265,True
43,yellow,blue,incongruent,blue,1.310457,True
44,green,yellow,incongruent,yellow,0.665283,True
45,green,green,congruent,green,0.969857,True
46,red,yellow,incongruent,yellow,0.697091,True
47,green,green,congruent,green,0.743876,True
48,blue,yellow,incongruent,yellow,0.649784,True
49,red,red,congruent,red,0.584911,True
50,green,green,congruent,green,0.703916,True
51,red,red,congruent,red,0.602038,True
52,yellow,yellow,congruent,yellow,0.664649,True
53,blue,blue,congruent,blue,0.612306,True
54,green,red,incongruent,red,1.077603,True
55,yellow,yellow,congruent,yellow,0.648693,True
56,red,green,incongruent,green,0.806503,True
57,blue,red,incongruent,red,0.953607,True
58,green,green,congruent,green,0.706244,True
59,yellow,red,incongruent,red,0.786955,True
60,yellow,yellow,congruent,yellow,1.506599,True
61,red,red,congruent,red,0.501909,True
62,red,red,congruent,red,0.608641,True
63,green,green,congruent,green,0.552367,True
64,red,green,incongruent,green,0.854480,True
65,blue,green,incongruent,green,0.587692,True
66,blue,blue,congruent,blue,0.697943,True
67,green,green,congruent,green,0.740095,True
68,yellow,red,incongruent,red,0.938427,True
69,red,red,congruent,red,0.564143,True
70,green,yellow,incongruent,yellow,0.691839,True
71,yellow,yellow,congruent,yellow,0.520051,True
72,blue,blue,congruent,blue,0.585807,True
73,blue,blue,congruent,blue,0.561541,True
74,blue,blue,congruent,blue,0.649742,True
75,blue,yellow,incongruent,yellow,1.083043,True
76,blue,blue,congruent,blue,0.605972,True
77,red,yellow,incongruent,yellow,1.009244,True
78,green,green,congruent,green,1.178801,True
79,red,green,incongruent,green,0.728994,True
80,red,yellow,incongruent,yellow,0.934733,True
81,red,blue,incongruent,blue,0.823995,True
82,red,yellow,incongruent,yellow,0.804857,True
83,red,green,incongruent,green,0.683089,True
84,green,red,incongruent,red,0.645769,True
85,red,yellow,incongruent,yellow,0.911779,True
86,blue,blue,congruent,blue,0.720481,True
87,red,red,congruent,red,0.525211,True
88,green,green,congruent,green,0.750711,True
89,green,green,congruent,green,0.560107,True
90,red,red,congruent,red,0.703705,True
91,red,green,incongruent,green,1.197683,True
92,blue,red,incongruent,red,0.953133,True
93,red,red,congruent,red,0.705353,True
94,red,blue,incongruent,blue,0.675808,True
95,yellow,green,incongruent,green,0.767304,True
96,yellow,yellow,congruent,yellow,0.623323,True
97,yellow,yellow,congruent,yellow,0.676684,True
98,green,green,congruent,green,1.218989,True
99,red,red,congruent,red,0.537133,True
100,blue,blue,congruent,blue,0.626482,True
101,blue,green,incongruent,green,1.013144,True
102,yellow,blue,incongruent,blue,0.839249,True
103,green,blue,incongruent,green,0.972600,False
104,yellow,red,incongruent,red,0.881652,True
105,yellow,yellow,congruent,yellow,0.866998,True
106,red,red,congruent,red,0.495561,True
107,yellow,blue,incongruent,blue,1.386583,True
108,green,red,incongruent,red,1.110419,True
109,red,blue,incongruent,blue,1.187812,True
110,green,green,congruent,green,0.627827,True
111,green,blue,incongruent,blue,0.744136,True
112,green,blue,incongruent,blue,0.577981,True
113,green,red,incongruent,red,0.594213,True
114,yellow,blue,incongruent,blue,0.839875,True
115,green,green,congruent,green,0.638423,True
116,yellow,red,incongruent,red,0.857252,True
117,blue,green,incongruent,blue,0.843847,False
118,blue,blue,congruent,blue,0.680458,True
119,yellow,yellow,congruent,yellow,0.578302,True
120,green,blue,incongruent,green,0.906185,False
