trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,yellow,congruent,yellow,0.638090,True
2,yellow,blue,incongruent,green,0.700574,False
3,blue,green,incongruent,green,1.093167,True
4,red,red,congruent,red,0.625713,True
5,green,green,congruent,green,0.593936,True
6,yellow,yellow,congruent,yellow,0.508101,True
7,green,green,congruent,green,0.600104,True
8,green,green,congruent,green,0.513260,True
9,red,red,congruent,red,0.500086,True
10,green,green,congruent,green,0.722394,True
11,green,green,congruent,green,0.527063,True
12,blue,green,incongruent,green,0.809476,True
13,yellow,yellow,congruent,yellow,0.729106,True
14,yellow,yellow,congruent,yellow,0.540063,True
15,green,red,incongruent,red,0.743703,True
16,blue,blue,congruent,blue,0.658804,True
17,green,yellow,incongruent,green,0.641691,False
18,red,green,incongruent,green,1.029842,True
19,red,red,congruent,red,1.103631,True
20,red,yellow,incongruent,yellow,0.987657,True
21,blue,blue,congruent,blue,0.675715,True
22,yellow,blue,incongruent,blue,0.728634,True
23,blue,blue,congruent,blue,0.548262,True
24,yellow,blue,incongruent,yellow,0.608073,False
25,green,yellow,incongruent,green,0.751665,False
26,yellow,yellow,congruent,yellow,0.617949,True
27,yellow,yellow,congruent,yellow,0.617607,True
28,blue,blue,congruent,blue,0.569169,True
29,yellow,red,incongruent,red,0.722272,True
30,green,green,congruent,green,0.654076,True
31,red,blue,incongruent,blue,0.786930,True
32,red,green,incongruent,green,0.668482,True
33,green,green,congruent,green,0.618246,True
34,blue,green,incongruent,green,0.634057,True
35,red,blue,incongruent,blue,0.807154,True
36,blue,green,incongruent,green,0.679519,True
37,blue,blue,congruent,blue,0.658811,True
38,red,red,congruent,red,0.539968,True
39,yellow,red,incongruent,red,0.734063,True
40,blue,red,incongruent,red,0.561630,True
41,yellow,yellow,congruent,yellow,0.587963,True
42,red,red,congruent,red,0.621344,True
43,red,red,congruent,red,0.644918,True
44,blue,yellow,incongruent,yellow,0.747329,True
45,red,blue,incongruent,blue,0.891588,True
46,green,green,congruent,green,0.601324,True
47,green,green,congruent,green,0.665284,True
48,yellow,yellow,congruent,yellow,0.583387,True
49,red,yellow,incongruent,yellow,0.624286,True
50,green,red,incongruent,red,1.266286,True
51,blue,red,incongruent,red,0.925611,True
52,blue,blue,congruent,blue,0.689043,True
53,red,red,congruent,red,0.534995,True
54,green,green,congruent,green,0.539318,True
55,red,red,congruent,red,0.510695,True
56,yellow,red,incongruent,yellow,0.633740,False
57,yellow,green,incongruent,green,1.118491,True
58,green,blue,incongruent,blue,0.982730,True
59,red,blue,incongruent,blue,0.750793,True
60,blue,red,incongruent,red,0.950703,True
61,yellow,red,incongruent,red,1.228230,True
62,green,green,congruent,green,0.738735,True
63,green,red,incongruent,red,1.098136,True
64,yellow,blue,incongruent,blue,0.939736,True
65,red,red,congruent,red,0.765654,True
66,yellow,blue,incongruent,blue,0.996590,True
67,blue,yellow,incongruent,yellow,1.112344,True
68,green,yellow,incongruent,yellow,0.764973,True
69,green,green,congruent,green,0.781158,True
70,yellow,yellow,congruent,yellow,0.590170,True
71,green,blue,incongruent,blue,1.281514,True
72,blue,red,incongruent,red,1.019412,True
73,green,red,incongruent,red,0.714342,True
74,red,red,congruent,red,0.661655,True
75,blue,blue,congruent,blue,0.635504,True
76,yellow,green,incongruent,green,0.746379,True
77,blue,blue,congruent,blue,0.611097,True
78,green,red,incongruent,red,0.706463,True
79,yellow,green,incongruent,green,0.712983,True
80,yellow,yellow,congruent,yellow,0.650581,True
81,blue,yellow,incongruent,yellow,0.698224,True
82,green,yellow,incongruent,yellow,0.582820,True
83,yellow,yellow,congruent,yellow,0.576135,True
84,yellow,red,incongruent,red,0.720534,True
85,red,red,congruent,red,0.612248,True
86,green,blue,incongruent,blue,0.754213,True
87,yellow,yellow,congruent,yellow,0.662012,True
88,red,yellow,incongruent,yellow,0.603313,True
89,red,red,congruent,red,0.628242,True
90,blue,blue,congruent,blue,0.627683,True
91,green,yellow,incongruent,yellow,0.635775,True
92,blue,yellow,incongruent,yellow,0.571550,True
93,green,green,congruent,green,0.700822,True
94,green,blue,incongruent,blue,0.608604,True
95,blue,red,incongruent,red,0.823453,True
96,yellow,yellow,congruent,yellow,0.576087,True
97,blue,blue,congruent,blue,0.537581,True
98,red,red,congruent,red,0.580617,True
99,yellow,green,incongruent,blue,0.801792,False
100,red,yellow,incongruent,yellow,0.605802,True
101,yellow,yellow,congruent,yellow,0.566614,True
102,blue,blue,congruent,blue,0.552229,True
103,green,green,congruent,green,0.690477,True
104,green,blue,incongruent,blue,0.964236,True
105,red,red,congruent,red,0.627643,True
106,red,green,incongruent,green,0.691676,True
107,blue,blue,congruent,blue,0.602972,True
108,blue,green,incongruent,green,0.564003,True
109,blue,blue,congruent,blue,0.595141,True
110,red,green,incongruent,green,0.837054,True
111,red,yellow,incongruent,yellow,0.659785,True
112,red,blue,incongruent,blue,0.721025,True
113,red,red,congruent,red,0.509819,True
114,blue,blue,congruent,blue,0.808674,True
115,blue,yellow,incongruent,yellow,0.871702,True
116,yellow,yellow,congruent,yellow,0.573661,True
117,blue,blue,congruent,blue,0.924501,True
118,red,green,incongruent,red,0.854581,False
119,green,green,congruent,green,0.645651,True
120,yellow,green,incongruent,green,0.651317,True
