trialnum,colourtext,colourname,condition,response,rt,correct
1,red,blue,incongruent,blue,1.161336,True
2,green,red,incongruent,red,0.999027,True
3,blue,red,incongruent,red,1.052197,True
4,blue,blue,congruent,blue,0.792441,True
5,blue,blue,congruent,blue,0.450303,True
6,red,blue,incongruent,red,0.790676,False
7,blue,blue,congruent,blue,0.583456,True
8,blue,red,incongruent,red,0.615949,True
9,yellow,blue,incongruent,blue,0.972074,True
10,red,green,incongruent,green,1.065340,True
11,green,green,congruent,green,0.717762,True
12,green,yellow,incongruent,yellow,0.450248,True
13,yellow,yellow,congruent,yellow,0.583998,True
14,green,green,congruent,green,0.624250,True
15,blue,blue,congruent,blue,0.622948,True
16,red,red,congruent,red,0.519088,True
17,blue,blue,congruent,blue,0.586406,True
18,yellow,yellow,congruent,yellow,0.587606,True
19,red,red,congruent,red,0.508495,True
20,blue,blue,congruent,blue,0.465595,True
21,yellow,blue,incongruent,blue,0.964194,True
22,yellow,green,incongruent,green,1.066403,True
23,green,green,congruent,green,0.591890,True
24,red,green,incongruent,red,0.583977,False
25,red,red,congruent,red,0.632338,True
26,blue,blue,congruent,blue,0.606890,True
27,blue,blue,congruent,blue,0.598756,True
28,red,red,congruent,red,0.487622,True
29,blue,red,incongruent,red,0.762850,True
30,green,green,congruent,blue,0.618659,False
31,red,green,incongruent,green,0.945781,True
32,red,green,incongruent,green,0.666503,True
33,yellow,yellow,congruent,yellow,0.632238,True
34,yellow,green,incongruent,green,0.661840,True
35,red,red,congruent,red,0.522396,True
36,yellow,red,incongruent,red,0.813410,True
37,yellow,green,incongruent,green,0.642834,True
38,yellow,blue,incongruent,blue,0.649619,True
39,blue,yellow,incongruent,yellow,1.211667,True
40,yellow,blue,incongruent,blue,1.109319,True
41,red,yellow,incongruent,yellow,0.697746,True
42,green,green,congruent,green,0.692283,True
43,red,red,congruent,red,0.576435,True
44,green,green,congruent,green,0.609899,True
45,green,red,incongruent,red,0.617159,True
46,blue,blue,congruent,yellow,0.696174,False
47,red,green,incongruent,green,1.078943,True
48,blue,blue,congruent,blue,0.565130,True
49,blue,yellow,incongruent,yellow,0.606813,True
50,green,blue,incongruent,blue,0.852273,True
51,red,yellow,incongruent,yellow,0.959843,True
52,blue,red,incongruent,red,0.673016,True
53,red,red,congruent,red,0.590263,True
54,blue,green,incongruent,green,0.901045,True
55,red,red,congruent,red,0.544846,True
56,blue,green,incongruent,green,0.770048,True
57,yellow,yellow,congruent,yellow,0.611900,True
58,blue,blue,congruent,blue,0.555210,True
59,yellow,yellow,congruent,yellow,0.479482,True
60,red,red,congruent,red,0.515609,True
61,yellow,yellow,congruent,yellow,0.410492,True
62,green,red,incongruent,red,0.752866,True
63,green,green,congruent,green,0.571218,True
64,green,blue,incongruent,blue,0.730714,True
65,red,red,congruent,red,0.532117,True
66,blue,green,incongruent,green,1.038144,True
67,blue,yellow,incongruent,yellow,0.588931,True
68,green,green,congruent,green,0.589696,True
69,blue,yellow,incongruent,yellow,1.114087,True
70,red,blue,incongruent,blue,1.102541,True
71,red,blue,incongruent,blue,0.573806,True
72,yellow,red,incongruent,red,0.599365,True
73,yellow,green,incongruent,green,0.726447,True
74,red,red,congruent,red,0.537895,True
75,yellow,yellow,congruent,yellow,0.533845,True
76,yellow,yellow,congruent,yellow,0.584351,True
77,yellow,green,incongruent,green,0.616652,True
78,blue,green,incongruent,green,0.615968,True
79,green,yellow,incongruent,yellow,0.662705,True
80,red,yellow,incongruent,yellow,0.571195,True
81,green,green,congruent,green,0.550964,True
82,yellow,red,incongruent,blue,0.759068,False
83,red,red,congruent,red,0.648472,True
84,green,green,congruent,green,0.733932,True
85,green,green,congruent,green,0.505039,True
86,red,blue,incongruent,blue,0.897953,True
87,green,red,incongruent,red,0.573991,True
88,yellow,red,incongruent,red,0.583386,True
89,red,red,congruent,red,0.464990,True
90,yellow,yellow,congruent,yellow,0.551230,True
91,green,blue,incongruent,blue,0.941596,True
92,blue,blue,congruent,blue,0.615991,True
93,yellow,red,incongruent,red,0.670654,True
94,green,green,congruent,green,0.612358,True
95,yellow,yellow,congruent,yellow,0.570919,True
96,green,green,congruent,green,0.463270,True
97,blue,blue,congruent,blue,0.848516,True
98,yellow,blue,incongruent,blue,0.537189,True
99,green,yellow,incongruent,yellow,0.588633,True
100,yellow,yellow,congruent,yellow,0.605297,True
101,red,yellow,incongruent,yellow,0.557552,True
102,green,yellow,incongruent,yellow,0.591910,True
103,red,red,congruent,red,0.512726,True
104,blue,red,incongruent,red,0.626751,True
105,green,blue,incongruent,blue,0.880340,True
106,red,red,congruent,red,0.534024,True
107,blue,green,incongruent,green,1.108836,True
108,yellow,yellow,congruent,yellow,0.529257,True
109,green,yellow,incongruent,yellow,0.563116,True
110,green,green,congruent,green,0.534282,True
111,yellow,yellow,congruent,yellow,0.529236,True
112,yellow,yellow,congruent,yellow,0.531012,True
113,green,red,incongruent,red,0.686189,True
114,green,green,congruent,green,0.587008,True
115,blue,blue,congruent,blue,0.737829,True
116,green,blue,incongruent,blue,0.612300,True
117,yellow,yellow,congruent,yellow,0.602861,True
118,blue,blue,congruent,blue,0.706917,True
119,blue,yellow,incongruent,yellow,1.384536,True
120,red,yellow,incongruent,yellow,0.569144,True
