trialnum,colourtext,colourname,condition,response,rt,correct
1,blue,blue,congruent,blue,1.049385,True
2,red,yellow,incongruent,yellow,0.802997,True
3,blue,blue,congruent,blue,0.592141,True
4,red,yellow,incongruent,yellow,0.464105,True
5,yellow,red,incongruent,red,0.610025,True
6,green,red,incongruent,red,0.512211,True
7,green,blue,incongruent,blue,0.798220,True
8,red,red,congruent,red,0.683256,True
9,green,green,congruent,green,0.676395,True
10,blue,yellow,incongruent,yellow,0.685922,True
11,red,red,congruent,red,0.598829,True
12,green,green,congruent,green,1.047221,True
13,yellow,yellow,congruent,yellow,0.607675,True
14,blue,blue,congruent,blue,0.544349,True
15,green,green,congruent,green,0.639855,True
16,red,red,congruent,red,0.571491,True
17,blue,blue,congruent,yellow,1.013991,False
18,green,green,congruent,green,0.924421,True
19,yellow,yellow,congruent,yellow,0.576590,True
20,red,red,congruent,red,0.622302,True
21,red,red,congruent,red,0.642423,True
22,blue,yellow,incongruent,yellow,0.741290,True
23,blue,blue,congruent,blue,0.549388,True
24,green,blue,incongruent,blue,0.612490,True
25,yellow,blue,incongruent,blue,0.631732,True
26,red,yellow,incongruent,yellow,0.922016,True
27,yellow,yellow,congruent,yellow,0.586820,True
28,blue,red,incongruent,green,1.249364,False
29,green,red,incongruent,red,1.450687,True
30,blue,green,incongruent,green,0.954373,True
31,green,green,congruent,green,0.704378,True
32,green,green,congruent,green,0.704488,True
33,green,green,congruent,green,0.696399,True
34,blue,green,incongruent,green,0.710863,True
35,yellow,yellow,congruent,yellow,0.710692,True
36,blue,blue,congruent,blue,0.639637,True
37,blue,green,incongruent,green,1.136345,True
38,red,red,congruent,red,0.655463,True
39,green,yellow,incongruent,yellow,0.714069,True
40,green,yellow,incongruent,yellow,0.671652,True
41,red,red,congruent,red,0.636601,True
42,green,red,incongruent,red,0.592748,True
43,blue,blue,congruent,blue,1.374423,True
44,red,red,congruent,red,0.628974,True
45,blue,blue,congruent,blue,0.671622,True
46,red,blue,incongruent,blue,0.682391,True
47,red,green,incongruent,green,0.644240,True
48,yellow,yellow,congruent,yellow,0.591861,True
49,red,red,congruent,red,0.566029,True
50,green,green,congruent,blue,1.055899,False
51,blue,yellow,incongruent,yellow,1.031136,True
52,yellow,red,incongruent,red,0.658092,True
53,green,green,congruent,green,0.851358,True
54,blue,blue,congruent,blue,0.724798,True
55,green,blue,incongruent,blue,0.526310,True
56,red,green,incongruent,yellow,0.789188,False
57,red,green,incongruent,green,0.722107,True
58,red,yellow,incongruent,yellow,0.626392,True
59,yellow,green,incongruent,green,0.986993,True
60,red,red,congruent,red,0.632186,True
61,yellow,red,incongruent,red,0.635932,True
62,green,blue,incongruent,blue,0.853400,True
63,green,red,incongruent,red,0.838137,True
64,yellow,blue,incongruent,blue,1.108674,True
65,green,blue,incongruent,blue,0.724844,True
66,yellow,green,incongruent,green,0.827749,True
67,blue,green,incongruent,green,0.703803,True
68,yellow,yellow,congruent,yellow,0.608771,True
69,yellow,yellow,congruent,yellow,0.614085,True
70,blue,yellow,incongruent,yellow,0.624338,True
71,green,green,congruent,green,0.718538,True
72,yellow,yellow,congruent,yellow,0.614510,True
73,blue,blue,congruent,blue,0.792265,True
74,yellow,yellow,congruent,yellow,0.709273,True
75,yellow,red,incongruent,red,0.621728,True
76,green,green,congruent,green,0.808599,True
77,yellow,green,incongruent,green,0.637521,True
78,green,green,congruent,green,0.617302,True
79,blue,blue,congruent,blue,0.700313,True
80,yellow,yellow,congruent,yellow,0.621837,True
81,red,red,congruent,red,0.530648,True
82,red,green,incongruent,green,0.727866,True
83,blue,blue,congruent,blue,0.536690,True
84,green,green,congruent,green,0.674748,True
85,yellow,yellow,congruent,yellow,0.542334,True
86,red,blue,incongruent,red,0.755812,False
87,yellow,yellow,congruent,yellow,1.378710,True
88,yellow,yellow,congruent,yellow,0.734170,True
89,green,green,congruent,green,0.662841,True
90,yellow,green,incongruent,green,0.695034,True
91,green,yellow,incongruent,yellow,0.655738,True
92,yellow,red,incongruent,red,0.716188,True
93,green,yellow,incongruent,yellow,1.048238,True
94,red,yellow,incongruent,yellow,0.817405,True
95,red,blue,incongruent,blue,0.906324,True
96,blue,red,incongruent,red,0.754083,True
97,yellow,blue,incongruent,blue,0.838973,True
98,blue,green,incongruent,green,0.651406,True
99,blue,red,incongruent,red,0.803829,True
100,blue,red,incongruent,red,0.830902,True
101,blue,yellow,incongruent,yellow,0.595474,True
102,red,red,congruent,red,0.734781,True
103,red,red,congruent,red,0.441352,True
104,blue,blue,congruent,blue,0.890135,True
105,green,red,incongruent,red,0.936803,True
106,red,blue,incongruent,blue,0.861989,True
107,red,red,congruent,red,1.004037,True
108,blue,red,incongruent,red,0.855115,True
109,red,red,congruent,red,0.792252,True
110,yellow,blue,incongruent,blue,0.867647,True
111,blue,blue,congruent,blue,0.669473,True
112,yellow,yellow,congruent,yellow,0.830116,True
113,blue,blue,congruent,blue,0.901082,True
114,yellow,blue,incongruent,blue,0.672305,True
115,yellow,green,incongruent,green,1.015172,True
116,green,yellow,incongruent,yellow,0.849136,True
117,red,green,incongruent,green,0.905540,True
118,yellow,yellow,congruent,yellow,0.785267,True
119,green,green,congruent,green,0.655027,True
120,red,blue,incongruent,blue,0.870960,True
