trialnum,colourtext,colourname,condition,response,rt,correct
1,red,blue,incongruent,blue,1.225037,True
2,blue,red,incongruent,red,0.861899,True
3,blue,yellow,incongruent,yellow,0.786202,True
4,green,red,incongruent,red,0.904054,True
5,yellow,blue,incongruent,blue,0.857643,True
6,blue,yellow,incongruent,yellow,0.687041,True
7,blue,blue,congruent,blue,0.547338,True
8,red,red,congruent,red,0.515959,True
9,yellow,red,incongruent,red,0.562064,True
10,blue,red,incongruent,red,0.532098,True
11,yellow,green,incongruent,green,0.964020,True
12,yellow,green,incongruent,green,0.594547,True
13,red,yellow,incongruent,yellow,0.713847,True
14,yellow,yellow,congruent,yellow,0.560432,True
15,blue,blue,congruent,blue,0.522571,True
16,blue,green,incongruent,green,0.597901,True
17,yellow,yellow,congruent,yellow,0.534449,True
18,green,red,incongruent,red,0.647763,True
19,yellow,green,incongruent,green,0.793696,True
20,blue,yellow,incongruent,yellow,0.587167,True
21,blue,green,incongruent,green,0.899500,True
22,red,red,congruent,red,0.519071,True
23,green,green,congruent,green,0.713553,True
24,red,green,incongruent,green,0.618600,True
25,blue,yellow,incongruent,yellow,0.746984,True
26,blue,red,incongruent,red,0.626482,True
27,red,red,congruent,red,0.697897,True
28,yellow,red,incongruent,red,0.471053,True
29,green,green,congruent,green,0.652056,True
30,green,green,congruent,green,0.807579,True
31,blue,red,incongruent,red,0.749183,True
32,green,red,incongruent,red,0.582809,True
33,yellow,yellow,congruent,yellow,0.559867,True
34,green,yellow,incongruent,yellow,0.633340,True
35,red,red,congruent,red,0.527540,True
36,yellow,yellow,congruent,yellow,0.547745,True
37,blue,blue,congruent,green,0.848843,False
38,red,red,congruent,red,0.664437,True
39,blue,blue,congruent,blue,0.811530,True
40,blue,green,incongruent,green,0.642742,True
41,red,red,congruent,red,0.624675,True
42,green,yellow,incongruent,yellow,0.584494,True
43,green,yellow,incongruent,yellow,0.521360,True
44,blue,blue,congruent,blue,0.580023,True
45,blue,blue,congruent,blue,0.523756,True
46,yellow,yellow,congruent,yellow,0.546030,True
47,blue,blue,congruent,blue,0.554810,True
48,yellow,red,incongruent,red,0.812448,True
49,yellow,blue,incongruent,blue,0.689786,True
50,red,red,congruent,red,0.567820,True
51,yellow,yellow,congruent,yellow,0.562119,True
52,yellow,blue,incongruent,blue,0.673578,True
53,green,blue,incongruent,blue,0.774620,True
54,red,red,congruent,red,0.536580,True
55,yellow,green,incongruent,green,0.651329,True
56,red,yellow,incongruent,yellow,0.894897,True
57,green,blue,incongruent,blue,0.737159,True
58,red,red,congruent,red,0.620530,True
59,green,green,congruent,green,0.620400,True
60,green,blue,incongruent,blue,0.809376,True
61,green,green,congruent,green,0.689293,True
62,blue,blue,congruent,blue,0.613278,True
63,blue,green,incongruent,green,0.595844,True
64,green,green,congruent,green,0.570850,True
65,green,red,incongruent,red,0.606628,True
66,green,red,incongruent,red,0.709279,True
67,green,green,congruent,green,0.593628,True
68,red,red,congruent,red,0.593924,True
69,red,red,congruent,red,0.673864,True
70,red,yellow,incongruent,yellow,0.734414,True
71,blue,green,incongruent,green,1.029224,True
72,blue,yellow,incongruent,yellow,0.571326,True
73,green,green,congruent,green,0.605798,True
74,yellow,yellow,congruent,yellow,0.581931,True
75,yellow,yellow,congruent,yellow,0.558879,True
76,blue,blue,congruent,blue,0.592443,True
77,red,blue,incongruent,red,0.561591,False
78,yellow,yellow,congruent,yellow,0.627253,True
79,green,blue,incongruent,blue,0.880155,True
80,yellow,yellow,congruent,yellow,0.524259,True
81,yellow,yellow,congruent,yellow,0.443572,True
82,blue,blue,congruent,blue,0.514488,True
83,blue,blue,congruent,blue,0.605912,True
84,yellow,yellow,congruent,yellow,0.542710,True
85,green,yellow,incongruent,yellow,0.617322,True
86,yellow,yellow,congruent,yellow,0.632251,True
87,blue,blue,congruent,blue,0.812619,True
88,yellow,green,incongruent,green,0.793760,True
89,red,red,congruent,red,0.547143,True
90,blue,blue,congruent,blue,0.581977,True
91,red,red,congruent,red,0.590467,True
92,red,yellow,incongruent,yellow,0.734503,True
93,red,green,incongruent,green,0.823040,True
94,blue,blue,congruent,blue,0.645610,True
95,green,green,congruent,green,1.135020,True
96,yellow,red,incongruent,red,0.761537,True
97,yellow,blue,incongruent,blue,0.650464,True
98,red,blue,incongruent,blue,0.704183,True
99,yellow,yellow,congruent,yellow,0.493634,True
100,red,green,incongruent,green,0.729485,True
101,red,green,incongruent,green,0.603293,True
102,yellow,blue,incongruent,yellow,0.589069,False
103,red,blue,incongruent,red,0.764310,False
104,green,green,congruent,green,0.587515,True
105,red,blue,incongruent,blue,1.280848,True
106,green,green,congruent,green,0.613889,True
107,red,red,congruent,red,0.610415,True
108,red,red,congruent,red,0.579504,True
109,blue,red,incongruent,red,1.296213,True
110,green,blue,incongruent,blue,1.459436,True
111,green,green,congruent,green,0.436493,True
112,green,green,congruent,green,0.508481,True
113,green,green,congruent,green,0.623971,True
114,green,green,congruent,green,0.662849,True
115,yellow,yellow,congruent,yellow,0.611059,True
116,green,yellow,incongruent,yellow,1.230098,True
117,blue,blue,congruent,blue,0.558460,True
118,red,green,incongruent,green,0.966210,True
119,yellow,red,incongruent,red,1.003783,True
120,red,yellow,incongruent,yellow,0.755018,True
